 potential		kinetic		total		ang_momen
-0.000013		0.000007		-0.000007		101651733319250.421875
-0.000013		0.000007		-0.000007		102945896995176.140625
-0.000013		0.000007		-0.000007		104340641216573.781250
-0.000013		0.000007		-0.000007		105936320329901.828125
-0.000013		0.000007		-0.000007		107832737776954.125000
-0.000013		0.000007		-0.000007		110128595802209.734375
-0.000013		0.000007		-0.000007		112920539333840.546875
-0.000013		0.000007		-0.000007		116301534886400.890625
-0.000013		0.000007		-0.000007		120358224297899.984375
-0.000013		0.000007		-0.000007		125166776332376.609375
