 x		y
1.000000		0.000000
0.999980		0.006283
0.999684		0.012565
0.999112		0.018843
0.998262		0.025115
0.997136		0.031381
0.995732		0.037638
0.994050		0.043885
0.992090		0.050119
0.989849		0.056339
0.987328		0.062543
0.984525		0.068729
0.981439		0.074896
0.978069		0.081041
0.974412		0.087162
0.970468		0.093257
0.966235		0.099325
0.961710		0.105363
0.956892		0.111368
0.951778		0.117339
0.946366		0.123273
0.940653		0.129168
0.934636		0.135022
0.928313		0.140831
0.921679		0.146593
0.914732		0.152305
0.907469		0.157965
0.899884		0.163568
0.891974		0.169113
0.883735		0.174595
0.875162		0.180011
0.866250		0.185357
0.856993		0.190630
0.847387		0.195825
0.837424		0.200937
0.827099		0.205963
0.816406		0.210896
0.805335		0.215733
0.793881		0.220466
0.782034		0.225091
0.769787		0.229600
0.757129		0.233987
0.744051		0.238244
0.730541		0.242363
0.716589		0.246335
0.702181		0.250150
0.687305		0.253799
0.671946		0.257269
0.656089		0.260548
0.639716		0.263623
0.622810		0.266478
0.605350		0.269096
0.587314		0.271458
0.568679		0.273543
0.549419		0.275327
0.529505		0.276784
0.508904		0.277882
0.487583		0.278586
0.465500		0.278855
0.442612		0.278642
0.418869		0.277890
0.394215		0.276535
0.368585		0.274494
0.341906		0.271672
0.314092		0.267949
0.285045		0.263173
0.254649		0.257152
0.222768		0.249632
0.189244		0.240270
0.153891		0.228587
0.116506		0.213885
0.076893		0.195091
0.034975		0.170452
-0.008777		0.136871
-0.051590		0.088629
-0.081183		0.017677
-0.071660		-0.061792
-0.038761		-0.121105
-0.000653		-0.164140
0.037496		-0.196918
0.074358		-0.222940
0.109638		-0.244216
0.143338		-0.261974
0.175550		-0.277013
0.206387		-0.289882
0.235959		-0.300973
0.264365		-0.310577
0.291693		-0.318916
0.318024		-0.326163
0.343425		-0.332457
0.367956		-0.337909
0.391672		-0.342613
0.414620		-0.346645
0.436843		-0.350070
0.458377		-0.352943
0.479256		-0.355313
0.499512		-0.357220
0.519172		-0.358701
0.538261		-0.359787
0.556802		-0.360507
0.574816		-0.360886
0.592322		-0.360946
0.609337		-0.360707
0.625878		-0.360187
0.641959		-0.359402
0.657595		-0.358369
0.672799		-0.357099
0.687581		-0.355607
0.701954		-0.353902
0.715928		-0.351996
0.729512		-0.349899
0.742716		-0.347619
0.755547		-0.345165
0.768014		-0.342544
0.780124		-0.339764
0.791884		-0.336832
0.803301		-0.333753
0.814380		-0.330535
