 x		y
1.000000		0.000000
1.000000		0.062832
0.996052		0.125664
0.988180		0.188249
0.976421		0.250344
0.960830		0.311709
0.941476		0.372109
0.918441		0.431315
0.891824		0.489105
0.861736		0.545265
0.828302		0.599590
0.791660		0.651886
0.751960		0.701967
0.709362		0.749662
0.664036		0.794811
0.616164		0.837269
0.565932		0.876902
0.513534		0.913592
0.459171		0.947238
0.403047		0.977750
0.345369		1.005056
0.286345		1.029099
0.226186		1.049836
0.165099		1.067240
0.103291		1.081297
0.040966		1.092010
-0.021677		1.099391
-0.084445		1.103469
-0.147148		1.104283
-0.209605		1.101882
-0.271642		1.096329
-0.333092		1.087692
-0.393799		1.076053
-0.453612		1.061495
-0.512391		1.044115
-0.570007		1.024010
-0.626336		1.001285
-0.681268		0.976048
-0.734699		0.948412
-0.786535		0.918491
-0.836691		0.886402
-0.885091		0.852262
-0.931667		0.816190
-0.976359		0.778304
-1.019116		0.738722
-1.059893		0.697562
-1.098652		0.654940
-1.135363		0.610969
-1.170002		0.565763
-1.202548		0.519431
-1.232991		0.472082
-1.261322		0.423821
-1.287537		0.374749
-1.311639		0.324968
-1.333633		0.274573
-1.353528		0.223658
-1.371338		0.172314
-1.387078		0.120627
-1.400767		0.068683
-1.412428		0.016563
-1.422084		-0.035656
-1.429762		-0.087898
-1.435489		-0.140091
-1.439296		-0.192166
-1.441214		-0.244057
-1.441276		-0.295699
-1.439516		-0.347034
-1.435970		-0.398002
-1.430674		-0.448548
-1.423664		-0.498619
-1.414978		-0.548164
-1.404655		-0.597136
-1.392734		-0.645489
-1.379252		-0.693179
-1.364251		-0.740164
-1.347769		-0.786405
-1.329847		-0.831865
-1.310525		-0.876508
-1.289842		-0.920300
-1.267839		-0.963209
-1.244556		-1.005204
-1.220033		-1.046258
-1.194311		-1.086342
-1.167427		-1.125431
-1.139424		-1.163502
-1.110340		-1.200530
-1.080214		-1.236495
-1.049085		-1.271376
-1.016994		-1.305154
-0.983977		-1.337811
-0.950074		-1.369331
-0.915323		-1.399697
