 x		y
1.000000		0.000000
0.998026		0.062832
0.992112		0.125416
0.982282		0.187504
0.968573		0.248853
0.951042		0.309219
0.929756		0.368365
0.904801		0.426056
0.876274		0.482066
0.844290		0.536174
0.808973		0.588166
0.770465		0.637837
0.728918		0.684992
0.684495		0.729445
0.637372		0.771021
0.587736		0.809556
0.535782		0.844899
0.481716		0.876911
0.425751		0.905467
0.368108		0.930454
0.309015		0.951774
0.248704		0.969345
0.187414		0.983097
0.125385		0.992978
0.062863		0.998949
0.000093		1.000986
-0.062677		0.999084
-0.125201		0.993250
-0.187231		0.983508
-0.248526		0.969897
-0.308842		0.952470
-0.367945		0.931299
-0.425600		0.906465
-0.481582		0.878068
-0.535672		0.846219
-0.587656		0.811045
-0.637331		0.772684
-0.684502		0.731287
-0.728985		0.687018
-0.770604		0.640050
-0.809196		0.590569
-0.844612		0.538768
-0.876710		0.484852
-0.905367		0.429033
-0.930470		0.371529
-0.951920		0.312567
-0.969634		0.252378
-0.983542		0.191199
-0.993590		0.129269
-0.999739		0.066832
-1.001963		0.004132
-1.000256		-0.058584
-0.994623		-0.121070
-0.985086		-0.183080
-0.971683		-0.244372
-0.954467		-0.304705
-0.933504		-0.363842
-0.908876		-0.421551
-0.880681		-0.477605
-0.849028		-0.531784
-0.814041		-0.583875
-0.775858		-0.633673
-0.734628		-0.680982
-0.690512		-0.725617
-0.643684		-0.767402
-0.594328		-0.806171
-0.542635		-0.841773
-0.488811		-0.874066
-0.433065		-0.902925
-0.375616		-0.928233
-0.316691		-0.949892
-0.256520		-0.967815
-0.195340		-0.981932
-0.133392		-0.992185
-0.070919		-0.998535
-0.008167		-1.000955
0.054617		-0.999435
0.117187		-0.993981
0.179294		-0.984612
0.240696		-0.971366
0.301150		-0.954294
0.360417		-0.933462
0.418264		-0.908951
0.474462		-0.880859
0.528791		-0.849294
0.581034		-0.814381
0.630987		-0.776257
0.678451		-0.735071
0.723239		-0.690987
0.765175		-0.644176
0.804091		-0.594825
0.839835		-0.543126
0.872265		-0.489284
0.901253		-0.433512
0.926684		-0.376028
0.948457		-0.317060
0.966486		-0.256841
0.980700		-0.195608
0.991043		-0.133602
