 x		y
1.000000		0.000000
0.998026		0.081681
0.992128		0.163042
0.982377		0.243769
0.968885		0.323568
0.951805		0.402168
0.931319		0.479329
0.907633		0.554844
0.880971		0.628539
0.851564		0.700276
0.819650		0.769951
0.785459		0.837488
0.749221		0.902840
0.711151		0.965986
0.671454		1.026922
0.630322		1.085664
0.587932		1.142239
0.544448		1.196687
0.500017		1.249056
0.454776		1.299400
0.408847		1.347778
0.362341		1.394252
0.315355		1.438885
0.267981		1.481740
0.220296		1.522882
0.172373		1.562374
0.124274		1.600277
0.076057		1.636653
0.027772		1.671560
-0.020537		1.705055
-0.068830		1.737191
-0.117070		1.768023
-0.165228		1.797600
-0.213275		1.825971
-0.261186		1.853181
-0.308940		1.879275
-0.356518		1.904296
-0.403902		1.928282
-0.451077		1.951273
-0.498031		1.973305
-0.544751		1.994413
-0.591228		2.014630
-0.637453		2.033987
-0.683419		2.052516
-0.729117		2.070244
-0.774543		2.087199
-0.819693		2.103407
-0.864561		2.118893
-0.909144		2.133682
-0.953439		2.147795
-0.997445		2.161255
-1.041158		2.174083
-1.084578		2.186297
-1.127704		2.197918
-1.170534		2.208963
-1.213068		2.219450
-1.255307		2.229396
-1.297249		2.238816
-1.338896		2.247725
-1.380248		2.256140
-1.421305		2.264073
-1.462068		2.271538
-1.502539		2.278548
-1.542718		2.285115
-1.582606		2.291253
-1.622205		2.296971
-1.661516		2.302282
-1.700541		2.307195
-1.739280		2.311722
-1.777736		2.315871
-1.815909		2.319654
-1.853803		2.323078
-1.891417		2.326152
-1.928754		2.328886
-1.965816		2.331288
-2.002605		2.333365
-2.039121		2.335125
-2.075367		2.336575
-2.111345		2.337724
-2.147056		2.338577
-2.182502		2.339142
-2.217686		2.339424
-2.252607		2.339431
-2.287269		2.339168
-2.321673		2.338642
-2.355822		2.337857
-2.389715		2.336820
-2.423356		2.335536
-2.456746		2.334010
-2.489887		2.332248
-2.522780		2.330253
-2.555428		2.328032
-2.587831		2.325588
-2.619992		2.322925
-2.651911		2.320050
-2.683592		2.316965
-2.715034		2.313674
-2.746241		2.310183
-2.777213		2.306494
-2.807951		2.302611
-2.838459		2.298539
-2.868736		2.294280
-2.898785		2.289839
-2.928607		2.285219
-2.958203		2.280422
-2.987576		2.275453
-3.016725		2.270314
-3.045653		2.265008
-3.074362		2.259539
-3.102851		2.253910
-3.131124		2.248122
-3.159181		2.242180
-3.187023		2.236085
-3.214652		2.229841
-3.242070		2.223450
-3.269276		2.216914
-3.296273		2.210236
-3.323062		2.203419
-3.349644		2.196465
-3.376020		2.189375
-3.402192		2.182153
-3.428160		2.174801
-3.453926		2.167320
-3.479491		2.159713
-3.504855		2.151981
-3.530021		2.144128
-3.554990		2.136155
-3.579761		2.128063
-3.604337		2.119855
-3.628718		2.111532
-3.652905		2.103097
-3.676900		2.094551
-3.700704		2.085896
-3.724316		2.077134
-3.747740		2.068265
-3.770974		2.059293
-3.794021		2.050218
-3.816881		2.041042
-3.839556		2.031767
-3.862045		2.022394
-3.884350		2.012925
-3.906473		2.003361
-3.928413		1.993703
-3.950171		1.983953
-3.971749		1.974113
-3.993148		1.964183
-4.014367		1.954165
-4.035408		1.944060
-4.056272		1.933871
-4.076960		1.923597
-4.097472		1.913240
-4.117809		1.902801
-4.137972		1.892282
-4.157961		1.881684
-4.177778		1.871007
-4.197423		1.860254
-4.216897		1.849424
-4.236200		1.838520
-4.255333		1.827542
-4.274297		1.816492
-4.293093		1.805370
-4.311721		1.794177
-4.330182		1.782915
-4.348476		1.771584
-4.366604		1.760186
-4.384568		1.748721
-4.402366		1.737190
-4.420001		1.725595
-4.437473		1.713936
-4.454781		1.702214
-4.471928		1.690430
-4.488913		1.678585
-4.505737		1.666680
-4.522401		1.654716
-4.538904		1.642693
-4.555249		1.630612
-4.571434		1.618475
-4.587461		1.606282
-4.603331		1.594033
-4.619044		1.581730
-4.634599		1.569373
-4.649999		1.556963
-4.665243		1.544502
-4.680331		1.531988
-4.695265		1.519425
-4.710045		1.506811
-4.724671		1.494148
-4.739144		1.481437
-4.753464		1.468678
-4.767631		1.455871
-4.781647		1.443019
-4.795511		1.430120
-4.809224		1.417177
-4.822786		1.404189
-4.836198		1.391158
-4.849461		1.378083
-4.862573		1.364966
-4.875537		1.351807
-4.888353		1.338607
-4.901020		1.325366
-4.913539		1.312085
-4.925910		1.298765
-4.938135		1.285407
-4.950213		1.272010
-4.962144		1.258575
-4.973930		1.245103
-4.985570		1.231595
-4.997064		1.218051
-5.008414		1.204472
-5.019619		1.190857
-5.030679		1.177209
