 x		y
1.000000		0.000000
0.996131		0.087965
0.984555		0.175249
0.965360		0.261177
0.938698		0.345084
0.904775		0.426322
0.863855		0.504264
0.816255		0.578306
0.762347		0.647879
0.702547		0.712445
0.637321		0.771508
0.567174		0.824614
0.492649		0.871355
0.414324		0.911374
0.332803		0.944364
0.248717		0.970076
0.162715		0.988314
0.075460		0.998941
-0.012376		1.001880
-0.100116		0.997113
-0.187087		0.984678
-0.272620		0.964677
-0.356060		0.937266
-0.436765		0.902660
-0.514119		0.861127
-0.587530		0.812988
-0.656436		0.758617
-0.720311		0.698431
-0.778667		0.632895
-0.831060		0.562511
-0.877090		0.487821
-0.916407		0.409397
-0.948711		0.327840
-0.973756		0.243774
-0.991352		0.157844
-1.001364		0.070706
-1.003717		-0.016972
-0.998393		-0.104521
-0.985433		-0.191270
-0.964933		-0.276557
-0.937052		-0.359727
-0.902000		-0.440145
-0.860045		-0.517194
-0.811506		-0.590283
-0.756753		-0.658853
-0.696204		-0.722376
-0.630319		-0.780364
-0.559603		-0.832369
-0.484595		-0.877992
-0.405870		-0.916878
-0.324029		-0.948727
-0.239700		-0.973291
-0.153529		-0.990377
-0.066178		-0.999850
0.021682		-1.001633
0.109375		-0.995709
0.196225		-0.982120
0.281565		-0.960966
0.364735		-0.932407
0.445092		-0.896659
0.522017		-0.853995
0.594913		-0.804741
0.663217		-0.749274
0.726398		-0.688021
0.783968		-0.621452
0.835478		-0.550080
0.880530		-0.474455
0.918773		-0.395162
0.949909		-0.312812
0.973698		-0.228043
0.989953		-0.141509
0.998549		-0.053881
0.999418		0.034165
0.992554		0.121946
0.978010		0.208784
0.955900		0.294006
0.926395		0.376954
0.889726		0.456986
0.846176		0.533485
0.796085		0.605860
0.739841		0.673552
0.677882		0.736041
0.610688		0.792846
0.538779		0.843529
0.462712		0.887704
0.383077		0.925031
0.300488		0.955227
0.215583		0.978062
0.129018		0.993363
0.041460		1.001018
-0.046417		1.000970
-0.133937		0.993224
-0.220428		0.977844
-0.305225		0.954951
-0.387678		0.924726
-0.467156		0.887402
-0.543050		0.843271
-0.614779		0.792673
-0.681796		0.735998
-0.743588		0.673684
-0.799685		0.606210
-0.849659		0.534094
-0.893128		0.457889
-0.929761		0.378180
-0.959281		0.295577
-0.981461		0.210713
-0.996133		0.124237
-1.003186		0.036810
-1.002566		-0.050898
-0.994277		-0.138216
-0.978382		-0.224478
-0.955003		-0.309022
-0.924317		-0.391202
-0.886558		-0.470388
-0.842012		-0.545973
-0.791019		-0.617378
-0.733969		-0.684055
-0.671295		-0.745491
-0.603476		-0.801214
-0.531030		-0.850794
-0.454511		-0.893847
-0.374505		-0.930041
-0.291622		-0.959095
-0.206500		-0.980782
-0.119791		-0.994932
-0.032161		-1.001432
0.055716		-1.000228
0.143165		-0.991326
0.229511		-0.974790
0.314089		-0.950744
0.396246		-0.919369
0.475347		-0.880905
0.550781		-0.835644
0.621964		-0.783933
0.688343		-0.726169
0.749406		-0.662796
0.804678		-0.594301
0.853730		-0.521213
0.896182		-0.444094
0.931702		-0.363541
0.960016		-0.280176
0.980903		-0.194644
0.994201		-0.107605
0.999805		-0.019734
0.997674		0.068290
0.987823		0.155785
0.970329		0.242075
0.945328		0.326493
0.913016		0.408385
0.873642		0.487118
0.827514		0.562086
0.774990		0.632709
0.716478		0.698443
0.652431		0.758782
0.583347		0.813262
0.509760		0.861465
0.432240		0.903023
0.351388		0.937616
0.267827		0.964983
0.182202		0.984916
0.095175		0.997264
0.007415		1.001938
-0.080402		0.998904
-0.167601		0.988190
-0.253512		0.969883
-0.337475		0.944125
-0.418848		0.911120
-0.497007		0.871123
-0.571354		0.824445
-0.641320		0.771446
-0.706371		0.712534
-0.766011		0.648164
-0.819784		0.578830
-0.867281		0.505064
-0.908139		0.427432
-0.942048		0.346530
-0.968749		0.262976
-0.988039		0.177410
-0.999771		0.090487
-1.003857		0.002872
