 x		y
1.100000		0.000000
1.099982		0.006283
1.099930		0.012566
1.099842		0.018849
1.099718		0.025131
1.099560		0.031412
1.099366		0.037692
1.099137		0.043971
1.098873		0.050249
1.098574		0.056525
1.098240		0.062799
1.097870		0.069071
1.097466		0.075341
1.097026		0.081608
1.096551		0.087873
1.096041		0.094135
1.095496		0.100394
1.094916		0.106650
1.094301		0.112903
1.093651		0.119151
1.092965		0.125396
1.092245		0.131637
1.091490		0.137874
1.090700		0.144107
1.089875		0.150334
1.089015		0.156557
1.088121		0.162775
1.087191		0.168988
1.086227		0.175195
1.085228		0.181397
1.084194		0.187593
1.083126		0.193783
1.082023		0.199967
1.080885		0.206144
1.079713		0.212315
1.078506		0.218479
1.077265		0.224636
1.075989		0.230785
1.074679		0.236928
1.073334		0.243062
1.071956		0.249190
1.070542		0.255309
1.069095		0.261420
1.067614		0.267522
1.066098		0.273616
1.064548		0.279701
1.062964		0.285778
1.061347		0.291845
1.059695		0.297903
1.058009		0.303951
1.056290		0.309990
1.054537		0.316018
1.052750		0.322037
1.050930		0.328045
1.049076		0.334043
1.047188		0.340030
1.045267		0.346006
1.043313		0.351972
1.041325		0.357926
1.039304		0.363868
1.037250		0.369799
1.035162		0.375718
1.033042		0.381625
1.030889		0.387520
1.028703		0.393403
1.026483		0.399273
1.024232		0.405130
1.021947		0.410975
1.019630		0.416806
1.017280		0.422624
1.014898		0.428428
1.012484		0.434219
1.010037		0.439996
1.007558		0.445759
1.005046		0.451508
1.002503		0.457242
0.999928		0.462961
0.997321		0.468666
0.994682		0.474356
0.992011		0.480031
0.989309		0.485691
0.986575		0.491335
0.983810		0.496963
0.981013		0.502576
0.978186		0.508172
0.975327		0.513753
0.972436		0.519317
0.969515		0.524864
0.966563		0.530395
0.963581		0.535909
0.960567		0.541406
0.957523		0.546885
0.954449		0.552347
0.951344		0.557792
0.948209		0.563218
0.945043		0.568627
0.941848		0.574018
0.938622		0.579391
0.935367		0.584745
0.932082		0.590080
0.928768		0.595397
0.925423		0.600695
0.922050		0.605973
0.918647		0.611233
0.915215		0.616472
0.911753		0.621693
0.908263		0.626893
0.904744		0.632074
0.901196		0.637235
0.897620		0.642375
0.894015		0.647495
0.890381		0.652594
0.886720		0.657673
0.883030		0.662731
0.879312		0.667767
0.875566		0.672783
0.871793		0.677777
0.867991		0.682750
0.864162		0.687701
0.860306		0.692630
0.856423		0.697537
0.852512		0.702422
0.848574		0.707285
0.844610		0.712125
0.840618		0.716943
0.836600		0.721738
0.832556		0.726510
0.828485		0.731259
0.824387		0.735985
0.820264		0.740688
0.816115		0.745367
0.811940		0.750022
0.807739		0.754654
