 x		y
0.980000		0.000000
0.979980		0.006283
0.979919		0.012566
0.979819		0.018849
0.979678		0.025130
0.979496		0.031411
0.979275		0.037690
0.979013		0.043968
0.978711		0.050244
0.978369		0.056518
0.977986		0.062789
0.977564		0.069058
0.977101		0.075324
0.976598		0.081587
0.976055		0.087847
0.975472		0.094103
0.974848		0.100355
0.974185		0.106604
0.973481		0.112847
0.972738		0.119086
0.971954		0.125320
0.971131		0.131550
0.970267		0.137773
0.969364		0.143991
0.968421		0.150203
0.967438		0.156409
0.966415		0.162608
0.965353		0.168801
0.964251		0.174987
0.963109		0.181166
0.961928		0.187337
0.960707		0.193500
0.959447		0.199656
0.958147		0.205803
0.956808		0.211942
0.955429		0.218072
0.954011		0.224193
0.952555		0.230305
0.951058		0.236408
0.949523		0.242500
0.947949		0.248583
0.946336		0.254656
0.944683		0.260718
0.942993		0.266769
0.941263		0.272810
0.939494		0.278839
0.937687		0.284857
0.935842		0.290863
0.933958		0.296857
0.932035		0.302839
0.930074		0.308808
0.928075		0.314765
0.926038		0.320709
0.923963		0.326639
0.921850		0.332557
0.919699		0.338460
0.917510		0.344350
0.915283		0.350225
0.913019		0.356086
0.910717		0.361933
0.908378		0.367764
0.906002		0.373581
0.903588		0.379382
0.901137		0.385167
0.898649		0.390937
0.896124		0.396690
0.893562		0.402428
0.890964		0.408148
0.888329		0.413852
0.885657		0.419539
0.882949		0.425209
0.880205		0.430861
0.877424		0.436496
0.874608		0.442112
0.871755		0.447711
0.868867		0.453291
0.865943		0.458852
0.862983		0.464394
0.859988		0.469918
0.856958		0.475422
0.853892		0.480906
0.850791		0.486371
0.847655		0.491816
0.844485		0.497241
0.841279		0.502645
0.838040		0.508028
0.834765		0.513391
0.831456		0.518732
0.828114		0.524052
0.824737		0.529351
0.821326		0.534628
0.817881		0.539883
0.814403		0.545115
0.810891		0.550326
0.807347		0.555513
0.803768		0.560678
0.800157		0.565820
0.796513		0.570938
0.792836		0.576033
0.789127		0.581105
0.785385		0.586152
0.781611		0.591176
0.777804		0.596175
0.773966		0.601149
0.770096		0.606099
0.766194		0.611024
0.762261		0.615924
0.758297		0.620798
0.754301		0.625647
0.750274		0.630471
0.746216		0.635268
0.742128		0.640039
0.738009		0.644784
0.733860		0.649503
0.729681		0.654194
0.725472		0.658859
0.721233		0.663497
0.716964		0.668108
0.712666		0.672691
0.708338		0.677246
0.703982		0.681773
0.699596		0.686273
0.695182		0.690744
0.690739		0.695187
0.686268		0.699601
0.681768		0.703987
0.677241		0.708344
0.672685		0.712671
0.668102		0.716969
0.663492		0.721238
0.658854		0.725477
0.654189		0.729687
0.649498		0.733866
0.644779		0.738015
0.640034		0.742134
0.635263		0.746222
0.630466		0.750280
0.625643		0.754306
0.620794		0.758302
0.615919		0.762267
0.611019		0.766200
0.606094		0.770102
0.601144		0.773972
0.596170		0.777810
0.591171		0.781616
0.586148		0.785391
0.581100		0.789133
0.576029		0.792842
0.570934		0.796519
0.565815		0.800163
0.560674		0.803774
0.555509		0.807352
0.550321		0.810897
0.545111		0.814409
0.539878		0.817887
0.534623		0.821332
0.529347		0.824743
0.524048		0.828120
0.518728		0.831462
0.513386		0.834771
0.508024		0.838046
0.502640		0.841286
0.497236		0.844491
0.491812		0.847662
0.486367		0.850797
0.480902		0.853898
0.475418		0.856964
0.469914		0.859994
0.464390		0.862990
0.458848		0.865949
0.453287		0.868873
0.447707		0.871762
0.442108		0.874614
0.436492		0.877431
0.430857		0.880211
0.425205		0.882956
0.419536		0.885664
0.413849		0.888335
0.408145		0.890970
0.402424		0.893569
0.396687		0.896131
0.390933		0.898655
0.385164		0.901143
0.379378		0.903594
0.373577		0.906008
0.367761		0.908385
0.361929		0.910724
0.356083		0.913026
0.350222		0.915290
0.344347		0.917517
0.338457		0.919706
0.332554		0.921857
0.326636		0.923970
0.320706		0.926045
0.314762		0.928082
0.308805		0.930081
0.302836		0.932042
0.296854		0.933964
0.290860		0.935849
0.284854		0.937694
0.278836		0.939501
0.272807		0.941270
0.266767		0.942999
0.260715		0.944690
0.254653		0.946343
0.248581		0.947956
0.242498		0.949530
0.236405		0.951065
0.230303		0.952562
0.224191		0.954019
0.218070		0.955436
0.211940		0.956815
0.205801		0.958154
0.199654		0.959454
0.193498		0.960714
0.187335		0.961935
0.181164		0.963116
0.174985		0.964258
0.168799		0.965360
0.162607		0.966423
0.156407		0.967445
0.150201		0.968428
0.143990		0.969372
0.137772		0.970275
0.131548		0.971138
0.125319		0.971962
0.119085		0.972745
0.112846		0.973489
0.106602		0.974192
0.100354		0.974856
0.094102		0.975479
0.087846		0.976062
0.081586		0.976606
0.075323		0.977109
0.069057		0.977572
0.062788		0.977994
0.056517		0.978377
0.050243		0.978719
0.043967		0.979021
0.037689		0.979283
0.031410		0.979504
0.025130		0.979686
0.018848		0.979827
0.012566		0.979927
0.006283		0.979988
-0.000000		0.980008
-0.006284		0.979988
-0.012566		0.979928
-0.018849		0.979827
-0.025130		0.979686
-0.031411		0.979505
-0.037690		0.979283
-0.043968		0.979022
-0.050244		0.978720
-0.056518		0.978377
-0.062789		0.977995
-0.069058		0.977572
-0.075324		0.977109
-0.081587		0.976607
-0.087847		0.976063
-0.094103		0.975480
-0.100355		0.974857
-0.106603		0.974193
-0.112847		0.973490
-0.119086		0.972746
-0.125320		0.971963
-0.131549		0.971140
-0.137772		0.970276
-0.143990		0.969373
-0.150202		0.968430
-0.156408		0.967447
-0.162607		0.966425
-0.168800		0.965362
-0.174986		0.964260
-0.181164		0.963118
-0.187336		0.961937
-0.193499		0.960716
-0.199654		0.959456
-0.205802		0.958156
-0.211941		0.956817
-0.218071		0.955439
-0.224192		0.954021
-0.230304		0.952564
-0.236406		0.951068
-0.242499		0.949533
-0.248582		0.947959
-0.254654		0.946345
-0.260716		0.944693
-0.266768		0.943002
-0.272808		0.941273
-0.278837		0.939504
-0.284855		0.937697
-0.290861		0.935852
-0.296855		0.933968
-0.302837		0.932045
-0.308806		0.930085
-0.314763		0.928086
-0.320707		0.926049
-0.326637		0.923973
-0.332554		0.921860
-0.338458		0.919709
-0.344347		0.917520
-0.350223		0.915294
-0.356084		0.913030
-0.361930		0.910728
-0.367762		0.908389
-0.373578		0.906012
-0.379379		0.903599
-0.385165		0.901148
-0.390934		0.898660
-0.396688		0.896135
-0.402425		0.893573
-0.408146		0.890975
-0.413849		0.888340
-0.419536		0.885668
-0.425206		0.882960
-0.430858		0.880216
-0.436493		0.877436
-0.442109		0.874619
-0.447708		0.871767
-0.453288		0.868879
-0.458849		0.865955
-0.464391		0.862995
-0.469915		0.860000
-0.475419		0.856969
-0.480903		0.853904
-0.486368		0.850803
-0.491813		0.847667
-0.497237		0.844497
-0.502641		0.841291
-0.508025		0.838052
-0.513387		0.834777
-0.518729		0.831469
-0.524049		0.828126
-0.529347		0.824749
-0.534624		0.821338
-0.539879		0.817894
-0.545112		0.814416
-0.550322		0.810904
-0.555510		0.807359
-0.560674		0.803781
-0.565816		0.800170
-0.570935		0.796526
-0.576030		0.792849
-0.581101		0.789140
-0.586148		0.785398
-0.591172		0.781624
-0.596171		0.777817
-0.601145		0.773979
-0.606095		0.770109
-0.611020		0.766208
-0.615920		0.762274
-0.620795		0.758310
-0.625644		0.754314
-0.630467		0.750288
-0.635264		0.746230
-0.640035		0.742142
-0.644780		0.738023
-0.649499		0.733874
-0.654190		0.729695
-0.658855		0.725486
-0.663493		0.721247
-0.668103		0.716978
-0.672686		0.712680
-0.677242		0.708352
-0.681769		0.703996
-0.686269		0.699610
-0.690740		0.695196
-0.695183		0.690753
-0.699597		0.686282
-0.703983		0.681783
-0.708340		0.677255
-0.712667		0.672700
-0.716965		0.668117
-0.721234		0.663507
-0.725473		0.658869
-0.729682		0.654204
-0.733862		0.649512
-0.738011		0.644794
-0.742130		0.640049
-0.746218		0.635278
-0.750275		0.630481
-0.754302		0.625658
-0.758298		0.620809
-0.762263		0.615934
-0.766196		0.611034
-0.770098		0.606110
-0.773968		0.601160
-0.777806		0.596185
-0.781612		0.591186
-0.785386		0.586163
-0.789128		0.581116
-0.792838		0.576044
-0.796515		0.570949
-0.800159		0.565831
-0.803770		0.560689
-0.807348		0.555525
-0.810893		0.550337
-0.814405		0.545127
-0.817883		0.539894
-0.821328		0.534639
-0.824739		0.529363
-0.828116		0.524064
-0.831458		0.518744
-0.834767		0.513403
-0.838042		0.508040
-0.841281		0.502657
-0.844487		0.497253
-0.847658		0.491828
-0.850793		0.486384
-0.853894		0.480919
-0.856960		0.475434
-0.859990		0.469930
-0.862986		0.464407
-0.865945		0.458865
-0.868869		0.453303
-0.871758		0.447723
-0.874610		0.442125
-0.877427		0.436509
-0.880207		0.430874
-0.882952		0.425222
-0.885660		0.419552
-0.888331		0.413866
-0.890967		0.408162
-0.893565		0.402441
-0.896127		0.396704
-0.898652		0.390950
-0.901140		0.385181
-0.903591		0.379395
-0.906005		0.373594
-0.908381		0.367778
-0.910720		0.361947
-0.913022		0.356100
-0.915286		0.350239
-0.917513		0.344364
-0.919702		0.338474
-0.921853		0.332571
-0.923966		0.326654
-0.926042		0.320723
-0.928079		0.314779
-0.930078		0.308823
-0.932039		0.302853
-0.933961		0.296872
-0.935845		0.290878
-0.937691		0.284872
-0.939498		0.278854
-0.941267		0.272825
-0.942996		0.266784
-0.944687		0.260733
-0.946340		0.254671
-0.947953		0.248598
-0.949527		0.242516
-0.951062		0.236423
-0.952559		0.230321
-0.954016		0.224209
-0.955433		0.218088
-0.956812		0.211958
-0.958151		0.205819
-0.959451		0.199671
-0.960711		0.193516
-0.961932		0.187353
-0.963114		0.181182
-0.964256		0.175003
-0.965358		0.168817
-0.966420		0.162625
-0.967443		0.156425
-0.968426		0.150219
-0.969369		0.144007
-0.970272		0.137789
-0.971136		0.131566
-0.971959		0.125337
-0.972743		0.119103
-0.973486		0.112864
-0.974190		0.106620
-0.974853		0.100372
-0.975477		0.094120
-0.976060		0.087864
-0.976603		0.081604
-0.977107		0.075341
-0.977569		0.069075
-0.977992		0.062806
-0.978375		0.056535
-0.978717		0.050261
-0.979019		0.043985
-0.979281		0.037707
-0.979503		0.031428
-0.979684		0.025147
-0.979825		0.018866
-0.979926		0.012583
-0.979986		0.006301
-0.980006		0.000017
-0.979986		-0.006266
-0.979926		-0.012549
-0.979825		-0.018831
-0.979684		-0.025113
-0.979503		-0.031393
-0.979282		-0.037672
-0.979020		-0.043950
-0.978718		-0.050226
-0.978376		-0.056500
-0.977994		-0.062771
-0.977571		-0.069040
-0.977108		-0.075307
-0.976605		-0.081570
-0.976062		-0.087829
-0.975479		-0.094085
-0.974856		-0.100337
-0.974192		-0.106586
-0.973489		-0.112829
-0.972745		-0.119068
-0.971962		-0.125302
-0.971139		-0.131531
-0.970275		-0.137755
-0.969372		-0.143973
-0.968429		-0.150185
-0.967446		-0.156391
-0.966424		-0.162590
-0.965361		-0.168783
-0.964259		-0.174969
-0.963118		-0.181147
-0.961936		-0.187318
-0.960716		-0.193482
-0.959455		-0.199637
-0.958156		-0.205785
-0.956817		-0.211924
-0.955438		-0.218054
-0.954020		-0.224175
-0.952564		-0.230287
-0.951067		-0.236389
-0.949532		-0.242482
-0.947958		-0.248565
-0.946345		-0.254637
-0.944693		-0.260699
-0.943002		-0.266751
-0.941272		-0.272791
-0.939504		-0.278820
-0.937697		-0.284838
-0.935851		-0.290844
-0.933967		-0.296838
-0.932045		-0.302820
-0.930084		-0.308790
-0.928085		-0.314746
-0.926048		-0.320690
-0.923973		-0.326621
-0.921860		-0.332538
-0.919709		-0.338442
-0.917520		-0.344331
-0.915294		-0.350207
-0.913030		-0.356068
-0.910728		-0.361914
-0.908389		-0.367746
-0.906012		-0.373562
-0.903599		-0.379363
-0.901148		-0.385149
-0.898660		-0.390918
-0.896135		-0.396672
-0.893573		-0.402409
-0.890975		-0.408130
-0.888340		-0.413834
-0.885668		-0.419521
-0.882961		-0.425191
-0.880216		-0.430843
-0.877436		-0.436477
-0.874619		-0.442094
-0.871767		-0.447692
-0.868879		-0.453272
-0.865955		-0.458834
-0.862995		-0.464376
-0.860000		-0.469900
-0.856970		-0.475404
-0.853904		-0.480888
-0.850803		-0.486353
-0.847667		-0.491798
-0.844497		-0.497223
-0.841292		-0.502627
-0.838052		-0.508010
-0.834777		-0.513373
-0.831469		-0.518714
-0.828126		-0.524034
-0.824749		-0.529333
-0.821338		-0.534610
-0.817894		-0.539865
-0.814416		-0.545098
-0.810904		-0.550308
-0.807359		-0.555496
-0.803781		-0.560660
-0.800170		-0.565802
-0.796526		-0.570921
-0.792849		-0.576016
-0.789140		-0.581087
-0.785398		-0.586135
-0.781624		-0.591158
-0.777818		-0.596157
-0.773979		-0.601132
-0.770109		-0.606082
-0.766208		-0.611007
-0.762275		-0.615907
-0.758310		-0.620781
-0.754314		-0.625630
-0.750288		-0.630454
-0.746230		-0.635251
-0.742142		-0.640022
-0.738023		-0.644767
-0.733874		-0.649486
-0.729695		-0.654178
-0.725486		-0.658842
-0.721247		-0.663480
-0.716978		-0.668091
-0.712680		-0.672674
-0.708352		-0.677229
-0.703996		-0.681757
-0.699610		-0.686256
-0.695196		-0.690728
-0.690753		-0.695171
-0.686282		-0.699585
-0.681783		-0.703971
-0.677255		-0.708327
-0.672700		-0.712655
-0.668117		-0.716953
-0.663506		-0.721222
-0.658869		-0.725461
-0.654204		-0.729671
-0.649512		-0.733850
-0.644794		-0.737999
-0.640049		-0.742118
-0.635278		-0.746206
-0.630481		-0.750264
-0.625657		-0.754291
-0.620808		-0.758287
-0.615934		-0.762251
-0.611034		-0.766185
-0.606109		-0.770086
-0.601159		-0.773957
-0.596185		-0.777795
-0.591186		-0.781601
-0.586163		-0.785376
-0.581115		-0.789118
-0.576044		-0.792827
-0.570949		-0.796504
-0.565830		-0.800148
-0.560689		-0.803760
-0.555524		-0.807338
-0.550336		-0.810883
-0.545126		-0.814395
-0.539893		-0.817873
-0.534639		-0.821318
-0.529362		-0.824728
-0.524063		-0.828105
-0.518743		-0.831448
-0.513402		-0.834757
-0.508039		-0.838032
-0.502656		-0.841272
-0.497252		-0.844477
-0.491827		-0.847648
-0.486382		-0.850784
-0.480918		-0.853884
-0.475433		-0.856950
-0.469929		-0.859981
-0.464406		-0.862976
-0.458863		-0.865936
-0.453302		-0.868860
-0.447722		-0.871748
-0.442124		-0.874601
-0.436507		-0.877418
-0.430873		-0.880198
-0.425221		-0.882943
-0.419551		-0.885651
-0.413864		-0.888322
-0.408160		-0.890958
-0.402439		-0.893556
-0.396702		-0.896118
-0.390949		-0.898643
-0.385179		-0.901131
-0.379394		-0.903582
-0.373593		-0.905996
-0.367776		-0.908373
-0.361945		-0.910712
-0.356098		-0.913014
-0.350237		-0.915278
-0.344362		-0.917505
-0.338472		-0.919694
-0.332569		-0.921845
-0.326652		-0.923958
-0.320721		-0.926034
-0.314777		-0.928071
-0.308821		-0.930070
-0.302851		-0.932031
-0.296869		-0.933953
-0.290875		-0.935837
-0.284869		-0.937683
-0.278851		-0.939490
-0.272822		-0.941259
-0.266782		-0.942989
-0.260730		-0.944680
-0.254668		-0.946332
-0.248596		-0.947945
-0.242513		-0.949520
-0.236420		-0.951055
-0.230318		-0.952551
-0.224206		-0.954008
-0.218085		-0.955426
-0.211955		-0.956805
-0.205816		-0.958144
-0.199669		-0.959444
-0.193513		-0.960704
-0.187350		-0.961925
-0.181178		-0.963107
-0.175000		-0.964248
-0.168814		-0.965351
-0.162621		-0.966413
-0.156422		-0.967436
-0.150216		-0.968419
-0.144004		-0.969362
-0.137786		-0.970266
-0.131563		-0.971129
-0.125333		-0.971953
-0.119099		-0.972736
-0.112860		-0.973480
-0.106617		-0.974183
-0.100368		-0.974847
-0.094116		-0.975470
-0.087860		-0.976054
-0.081601		-0.976597
-0.075337		-0.977100
-0.069071		-0.977563
-0.062802		-0.977986
-0.056531		-0.978368
-0.050257		-0.978711
-0.043981		-0.979013
-0.037703		-0.979275
-0.031424		-0.979496
-0.025143		-0.979678
-0.018862		-0.979819
-0.012579		-0.979920
-0.006296		-0.979980
-0.000013		-0.980000
0.006270		-0.979980
0.012553		-0.979920
0.018835		-0.979819
0.025117		-0.979679
0.031398		-0.979497
0.037677		-0.979276
0.043955		-0.979014
0.050231		-0.978712
0.056505		-0.978370
0.062776		-0.977988
0.069045		-0.977565
0.075311		-0.977103
0.081574		-0.976600
0.087834		-0.976057
0.094090		-0.975473
0.100342		-0.974850
0.106590		-0.974187
0.112834		-0.973483
0.119073		-0.972740
0.125307		-0.971957
0.131536		-0.971133
0.137760		-0.970270
0.143978		-0.969367
0.150190		-0.968424
0.156396		-0.967441
0.162595		-0.966418
0.168788		-0.965356
0.174974		-0.964254
0.181153		-0.963113
0.187324		-0.961931
0.193487		-0.960711
0.199643		-0.959450
0.205790		-0.958151
0.211929		-0.956812
0.218059		-0.955433
0.224180		-0.954016
0.230292		-0.952559
0.236395		-0.951063
0.242488		-0.949527
0.248570		-0.947953
0.254643		-0.946340
0.260705		-0.944688
0.266757		-0.942997
0.272797		-0.941268
0.278826		-0.939499
0.284844		-0.937692
0.290850		-0.935847
0.296844		-0.933963
0.302826		-0.932041
0.308796		-0.930080
0.314752		-0.928081
0.320696		-0.926044
0.326627		-0.923969
0.332544		-0.921856
0.338448		-0.919705
0.344337		-0.917516
0.350213		-0.915289
0.356074		-0.913025
0.361920		-0.910724
0.367752		-0.908385
0.373568		-0.906008
0.379369		-0.903594
0.385155		-0.901144
0.390925		-0.898656
0.396678		-0.896131
0.402415		-0.893569
0.408136		-0.890971
0.413840		-0.888336
0.419527		-0.885664
0.425197		-0.882957
0.430849		-0.880212
0.436484		-0.877432
0.442100		-0.874615
0.447699		-0.871763
0.453279		-0.868875
0.458840		-0.865951
0.464383		-0.862991
0.469906		-0.859996
0.475410		-0.856966
0.480895		-0.853900
0.486360		-0.850800
0.491804		-0.847664
0.497229		-0.844493
0.502633		-0.841288
0.508017		-0.838048
0.513379		-0.834774
0.518721		-0.831465
0.524041		-0.828123
0.529340		-0.824746
0.534617		-0.821335
0.539872		-0.817891
0.545104		-0.814413
0.550315		-0.810901
0.555502		-0.807356
0.560667		-0.803778
0.565809		-0.800167
0.570928		-0.796523
0.576023		-0.792846
0.581094		-0.789137
0.586142		-0.785395
0.591165		-0.781621
0.596164		-0.777815
0.601139		-0.773976
0.606089		-0.770106
0.611014		-0.766205
0.615914		-0.762272
0.620788		-0.758307
0.625637		-0.754312
0.630461		-0.750285
0.635258		-0.746227
0.640029		-0.742139
0.644774		-0.738021
0.649493		-0.733872
0.654185		-0.729692
0.658849		-0.725483
0.663487		-0.721244
0.668098		-0.716976
0.672681		-0.712677
0.677236		-0.708350
0.681764		-0.703993
0.686263		-0.699608
0.690735		-0.695194
0.695178		-0.690751
0.699592		-0.686280
0.703978		-0.681780
0.708335		-0.677253
0.712662		-0.672698
0.716960		-0.668115
0.721229		-0.663504
0.725468		-0.658867
0.729678		-0.654202
0.733857		-0.649510
0.738006		-0.644792
0.742125		-0.640047
0.746213		-0.635276
0.750271		-0.630479
0.754298		-0.625656
0.758294		-0.620807
0.762258		-0.615932
0.766192		-0.611033
0.770094		-0.606108
0.773964		-0.601158
0.777802		-0.596183
0.781609		-0.591185
0.785383		-0.586161
0.789125		-0.581114
0.792834		-0.576043
0.796511		-0.570948
0.800155		-0.565829
0.803767		-0.560688
0.807345		-0.555523
0.810890		-0.550335
0.814402		-0.545125
0.817880		-0.539893
0.821325		-0.534638
0.824736		-0.529361
0.828113		-0.524063
0.831456		-0.518742
0.834764		-0.513401
0.838039		-0.508039
0.841279		-0.502655
0.844484		-0.497251
0.847655		-0.491827
0.850791		-0.486382
0.853892		-0.480917
0.856958		-0.475433
0.859988		-0.469929
0.862983		-0.464406
0.865943		-0.458863
0.868867		-0.453302
0.871756		-0.447722
0.874608		-0.442124
0.877425		-0.436507
0.880206		-0.430873
0.882950		-0.425221
0.885658		-0.419551
0.888330		-0.413864
0.890965		-0.408161
0.893564		-0.402440
0.896126		-0.396703
0.898651		-0.390949
0.901139		-0.385180
0.903590		-0.379394
0.906004		-0.373593
0.908380		-0.367777
0.910720		-0.361946
0.913021		-0.356099
0.915286		-0.350238
0.917512		-0.344363
0.919701		-0.338473
