 x		y
1.100000		0.000000
1.099984		0.006283
1.099935		0.012566
1.099853		0.018849
1.099739		0.025131
1.099592		0.031412
1.099413		0.037693
1.099201		0.043972
1.098956		0.050250
1.098679		0.056526
1.098369		0.062801
1.098027		0.069074
1.097652		0.075345
1.097245		0.081614
1.096805		0.087880
1.096332		0.094143
1.095827		0.100404
1.095290		0.106662
1.094720		0.112917
1.094118		0.119168
1.093483		0.125416
1.092816		0.131660
1.092117		0.137900
1.091385		0.144137
1.090621		0.150369
1.089825		0.156596
1.088996		0.162819
1.088135		0.169037
1.087242		0.175250
1.086317		0.181458
1.085360		0.187660
1.084371		0.193857
1.083350		0.200048
1.082297		0.206233
1.081211		0.212412
1.080094		0.218585
1.078945		0.224752
1.077765		0.230912
1.076552		0.237065
1.075308		0.243211
1.074032		0.249350
1.072724		0.255481
1.071385		0.261605
1.070015		0.267722
1.068613		0.273830
1.067179		0.279930
1.065714		0.286023
1.064218		0.292106
1.062690		0.298181
1.061131		0.304248
1.059542		0.310305
1.057921		0.316354
1.056269		0.322393
1.054586		0.328422
1.052872		0.334443
1.051127		0.340453
1.049352		0.346453
1.047546		0.352443
1.045709		0.358423
1.043842		0.364392
1.041944		0.370351
1.040016		0.376299
1.038057		0.382236
1.036068		0.388162
1.034049		0.394076
1.032000		0.399979
1.029921		0.405870
1.027812		0.411750
1.025672		0.417618
1.023504		0.423473
1.021305		0.429316
1.019077		0.435147
1.016819		0.440965
1.014531		0.446770
1.012215		0.452562
1.009869		0.458341
1.007493		0.464107
1.005089		0.469860
1.002655		0.475599
1.000193		0.481324
0.997702		0.487035
0.995182		0.492732
0.992633		0.498415
0.990055		0.504084
0.987450		0.509738
0.984815		0.515378
0.982153		0.521002
0.979462		0.526612
0.976743		0.532207
0.973996		0.537786
0.971221		0.543350
0.968418		0.548898
0.965588		0.554431
0.962730		0.559948
0.959844		0.565448
0.956931		0.570933
0.953991		0.576401
0.951024		0.581853
0.948029		0.587288
0.945008		0.592707
0.941959		0.598109
0.938884		0.603494
0.935782		0.608861
0.932654		0.614212
0.929499		0.619544
0.926318		0.624860
0.923110		0.630158
0.919877		0.635437
0.916618		0.640699
0.913332		0.645943
0.910021		0.651169
0.906684		0.656376
0.903322		0.661565
0.899935		0.666735
0.896522		0.671887
0.893084		0.677019
0.889620		0.682133
0.886132		0.687227
0.882619		0.692303
0.879082		0.697358
0.875520		0.702395
0.871933		0.707412
0.868322		0.712409
0.864687		0.717386
0.861028		0.722343
0.857345		0.727280
0.853638		0.732197
0.849907		0.737094
0.846153		0.741970
0.842376		0.746826
0.838575		0.751661
0.834750		0.756475
0.830903		0.761268
0.827033		0.766041
0.823140		0.770792
0.819225		0.775522
0.815287		0.780231
0.811326		0.784918
0.807344		0.789583
0.803339		0.794227
0.799312		0.798850
0.795263		0.803450
0.791193		0.808029
0.787101		0.812585
0.782987		0.817119
0.778852		0.821631
0.774696		0.826121
0.770519		0.830588
0.766321		0.835033
0.762102		0.839455
0.757863		0.843854
0.753603		0.848231
0.749323		0.852584
0.745022		0.856915
0.740702		0.861222
0.736361		0.865506
0.732001		0.869767
0.727621		0.874005
0.723221		0.878219
0.718802		0.882409
0.714364		0.886576
0.709907		0.890720
0.705430		0.894839
0.700935		0.898934
0.696421		0.903006
0.691889		0.907054
0.687338		0.911077
0.682769		0.915076
0.678182		0.919051
0.673577		0.923002
0.668954		0.926928
0.664314		0.930829
0.659656		0.934707
