 x		y
1.000000		0.000000
0.992104		0.125664
0.968543		0.249343
0.929694		0.369087
0.876175		0.483007
0.808840		0.589310
0.728762		0.686329
0.637212		0.772545
0.535644		0.846613
0.425662		0.907385
0.309005		0.953925
0.187507		0.985524
0.063077		1.001709
-0.062338		1.002250
-0.186781		0.987160
-0.308316		0.956699
-0.425056		0.911361
-0.535196		0.851871
-0.637036		0.779170
-0.729007		0.694399
-0.809699		0.598884
-0.877873		0.494110
-0.932487		0.381704
-0.972705		0.263405
-0.997915		0.141041
-1.007730		0.016502
-1.002002		-0.108291
-0.980817		-0.231414
-0.944498		-0.350967
-0.893599		-0.465101
-0.828897		-0.572052
-0.751382		-0.670159
-0.662241		-0.757898
-0.562842		-0.833897
-0.454716		-0.896965
-0.339528		-0.946105
-0.219062		-0.980535
-0.095185		-0.999698
0.030176		-1.003273
0.155066		-0.991180
0.277531		-0.963586
0.395650		-0.920901
0.507563		-0.863773
0.611506		-0.793081
0.705834		-0.709919
0.789053		-0.615584
0.859841		-0.511551
0.917071		-0.399451
0.959831		-0.281049
0.987441		-0.158211
0.999460		-0.032875
0.995695		0.092981
0.976209		0.217368
0.941312		0.338324
0.891562		0.453941
0.827753		0.562401
0.750902		0.661999
0.662230		0.751176
0.563145		0.828540
0.455215		0.892892
0.340144		0.943237
0.219745		0.978807
0.095909		0.999067
-0.029425		1.003722
-0.154301		0.992723
-0.276773		0.966263
-0.394941		0.924777
-0.506976		0.868930
-0.611147		0.799605
-0.705851		0.717893
-0.789632		0.625072
-0.861206		0.522588
-0.919476		0.412030
-0.963551		0.295112
-0.992757		0.173640
-1.006649		0.049489
-1.005014		-0.075425
-0.987876		-0.199175
-0.955496		-0.319853
-0.908366		-0.435593
-0.847206		-0.544605
-0.772950		-0.645199
-0.686735		-0.735810
-0.589885		-0.815026
-0.483888		-0.881603
-0.370377		-0.934494
-0.251109		-0.972855
-0.127932		-0.996071
-0.002759		-1.003756
0.122456		-0.995767
0.245757		-0.972208
0.365209		-0.933424
0.478934		-0.880002
0.585138		-0.812762
0.682144		-0.732744
0.768413		-0.641194
0.842577		-0.539543
0.903457		-0.429385
0.950082		-0.312452
0.981711		-0.190588
0.997839		-0.065714
0.998210		0.060197
0.982819		0.185158
0.951913		0.307196
0.905986		0.424387
0.845772		0.534885
0.772231		0.636954
0.686533		0.728997
0.590038		0.809574
0.484275		0.877436
0.370915		0.931533
0.251744		0.971036
0.128636		0.995349
0.003518		1.004114
-0.121655		0.997217
-0.244934		0.974788
-0.364403		0.937199
-0.478212		0.885053
-0.584603		0.819180
-0.681938		0.740615
-0.768719		0.650589
-0.843615		0.550504
-0.905478		0.441914
-0.953362		0.326502
-0.986535		0.206052
-1.004489		0.082423
-1.006949		-0.042477
-0.993876		-0.166722
