 x		y
1.000000		0.000000
0.999980		0.006283
0.999958		0.012566
0.999934		0.018849
0.999907		0.025133
0.999878		0.031416
0.999846		0.037699
0.999812		0.043981
0.999776		0.050264
0.999737		0.056547
0.999696		0.062829
0.999653		0.069112
0.999607		0.075394
0.999559		0.081676
0.999508		0.087958
0.999455		0.094239
0.999400		0.100521
0.999342		0.106802
0.999282		0.113083
0.999220		0.119364
0.999155		0.125644
0.999088		0.131924
0.999019		0.138204
0.998947		0.144483
0.998873		0.150762
0.998796		0.157041
0.998717		0.163319
0.998636		0.169597
0.998552		0.175875
0.998466		0.182152
0.998378		0.188429
0.998287		0.194705
0.998194		0.200981
0.998098		0.207256
0.998001		0.213531
0.997900		0.219805
0.997798		0.226079
0.997693		0.232352
0.997586		0.238625
0.997476		0.244897
0.997364		0.251169
0.997250		0.257440
0.997133		0.263710
0.997014		0.269980
0.996892		0.276249
0.996768		0.282517
0.996642		0.288785
0.996514		0.295052
0.996383		0.301319
0.996249		0.307584
0.996114		0.313849
0.995976		0.320114
0.995835		0.326377
0.995693		0.332640
0.995548		0.338902
0.995400		0.345163
0.995250		0.351423
0.995098		0.357683
0.994944		0.363941
0.994787		0.370199
0.994628		0.376456
0.994466		0.382712
0.994302		0.388967
0.994136		0.395221
0.993967		0.401474
0.993796		0.407726
0.993623		0.413978
0.993447		0.420228
0.993269		0.426477
0.993089		0.432726
0.992906		0.438973
0.992721		0.445219
0.992533		0.451464
0.992344		0.457708
0.992151		0.463951
0.991957		0.470193
0.991760		0.476434
0.991561		0.482674
0.991359		0.488912
0.991155		0.495150
0.990949		0.501386
0.990740		0.507621
0.990530		0.513855
0.990316		0.520087
0.990101		0.526319
0.989883		0.532549
0.989662		0.538778
0.989440		0.545005
0.989215		0.551232
0.988987		0.557457
0.988757		0.563680
0.988525		0.569903
0.988291		0.576124
0.988054		0.582343
0.987815		0.588562
0.987574		0.594778
0.987330		0.600994
0.987084		0.607208
0.986836		0.613420
0.986585		0.619632
0.986332		0.625841
0.986076		0.632049
0.985818		0.638256
0.985558		0.644461
0.985296		0.650665
0.985031		0.656867
0.984764		0.663068
0.984495		0.669266
0.984223		0.675464
0.983949		0.681660
0.983672		0.687854
0.983393		0.694046
0.983112		0.700237
0.982829		0.706427
0.982543		0.712614
0.982255		0.718800
0.981965		0.724984
0.981672		0.731167
0.981377		0.737347
0.981080		0.743526
0.980780		0.749704
0.980478		0.755879
0.980173		0.762053
