N	 a	  b		Result												
			 exact_result	MC brute	MC _improved	MC-imp_parallel		 realtive error	 sigma	 exe time_MC_bruteforce	 realtive error_imp_MC_uten jit	 sigma_imp MC uten jit	 exe time_MC_imp MC_uten jit	 realtive error_imp MC with jit	 sigma_imp MC with jit	 exe time_MC_imp MC _ with jit
100000	-5	5	0.19257	0.034806	0.194124	0.191812		0.819255	1.21E-09	1.173858	0.008068	0.054999	1.018276	0.00394	0.001363	0.465753
500000	-5	5	0.19257	0.104994	0.193304	0.192351		0.454776	1.10E-08	6.03315	0.003812	0.043947	5.086325	0.00114	0.000978	1.81215
1000000	-5	5	0.19257	0.083068	0.191073	0.191032		0.568637	6.90E-09	11.632929	0.007777	0.038472	10.56426	0.007986	0.001493	3.633324
5000000	-5	5	0.19257	0.195673	0.192748	0.192595		0.01611	3.83E-08	59.339541	0.000922	0.045483	51.738686	0.000129	0.001439	18.196394
10000000	-5	5	0.19257	0.148979	0.193341	0.193209		0.226367	2.22E-08	116.214675	0.004	0.051185	103.845157	0.003314	0.0001	37.911287
																
																
																
N	 a	  b	 Relative error													
			MC brute	MC _improved	MC-imp_parallel											
100000	-5	5	0.819255	0.008068	0.00394											
500000	-5	5	0.454776	0.003812	0.00114											
1000000	-5	5	0.568637	0.007777	0.007986											
5000000	-5	5	0.01611	0.000922	0.000129											
10000000	-5	5	0.226367	0.004	0.003314											
																
																
N	 a	  b	Execution Time(sec)													
			MC brute	MC _improved	MC-imp_parallel											
100000	-5	5	1.173858	1.018276	0.465753											
500000	-5	5	6.03315	5.086325	1.81215											
1000000	-5	5	11.632929	10.56426	3.633324											
5000000	-5	5	59.339541	51.738686	18.196394											
10000000	-5	5	116.214675	103.845157	37.911287											
																
N	 a	  b	Sigma													
			MC brute	MC _improved	MC-imp_parallel											
100000	-5	5	1.21E-09	0.054999	0.001363											
500000	-5	5	1.10E-08	0.043947	0.000978											
1000000	-5	5	6.90E-09	0.038472	0.001493											
5000000	-5	5	3.83E-08	0.045483	0.001439											
10000000	-5	5	2.22E-08	0.051185	0.0001											
