n 	 a	  b	  legrendre_resutlt	 exact_result	 realtive error	 sigma	 exe time_legrendre
100000	-1	1	0.165178	0.192570	0.195731	0.003280	1.309494
1100000	-1	1	0.164626	0.192570	0.195731	0.001140	13.998122
2100000	-1	1	0.165289	0.192570	0.195731	0.000868	27.272104
3100000	-1	1	0.164231	0.192570	0.195731	0.000732	38.972256
4100000	-1	1	0.164953	0.192570	0.195731	0.000622	53.490103
5100000	-1	1	0.164426	0.192570	0.195731	0.000524	68.493429
6100000	-1	1	0.164897	0.192570	0.195731	0.000517	77.515931
7100000	-1	1	0.164535	0.192570	0.195731	0.000449	95.336720
8100000	-1	1	0.164466	0.192570	0.195731	0.000425	112.007990
9100000	-1	1	0.164446	0.192570	0.195731	0.000413	118.312556
