n  spin_accpt	Ecalc	 Mabs_calc
1	0	-800	400
11	2	-800	400
21	9	-797.714286	399.238095
31	8	-799.483871	399.870968
41	11	-799.804878	399.95122
51	12	-799.529412	399.882353
61	6	-799.344262	399.836066
71	24	-798.253521	399.549296
81	26	-798.123457	399.45679
91	50	-798.153846	399.516484
101	34	-798.257426	399.564356
111	25	-798.630631	399.63964
121	44	-798.512397	399.603306
131	38	-798.961832	399.725191
141	35	-799.177305	399.787234
151	53	-798.278146	399.549669
161	41	-799.254658	399.813665
171	43	-798.877193	399.719298
181	50	-799.138122	399.779006
191	50	-798.910995	399.717277
201	48	-799.263682	399.810945
211	30	-799.317536	399.829384
221	63	-798.841629	399.710407
231	76	-798.649351	399.662338
241	73	-798.672199	399.66805
251	68	-798.741036	399.681275
261	58	-799.233716	399.808429
271	84	-798.760148	399.682657
281	86	-798.676157	399.66548
291	68	-799.024055	399.752577
301	81	-799.016611	399.754153
311	81	-799.022508	399.749196
321	84	-798.728972	399.682243
331	92	-799.141994	399.782477
341	88	-799.073314	399.765396
351	110	-798.780627	399.692308
361	98	-799.01385	399.750693
371	126	-798.727763	399.67655
381	112	-798.918635	399.727034
391	124	-798.710997	399.672634
401	96	-799.082294	399.770574
411	116	-798.773723	399.693431
421	122	-798.954869	399.738717
431	110	-798.87703	399.716937
441	100	-799.056689	399.759637
451	114	-799.059867	399.760532
461	156	-798.637744	399.657267
471	115	-799.082803	399.762208
481	144	-798.844075	399.704782
491	155	-799.00611	399.743381
501	166	-799.0499	399.756487
511	144	-798.896282	399.7182
521	130	-798.863724	399.715931
531	158	-798.696798	399.66855
541	148	-799.053604	399.752311
551	208	-798.715064	399.666062
561	112	-799.044563	399.754011
571	171	-798.963222	399.7338
581	128	-799.146299	399.786575
591	172	-799.005076	399.749577
601	178	-798.835275	399.703827
611	170	-798.939444	399.731588
621	194	-798.988728	399.742351
631	139	-799.175911	399.790808
641	175	-799.032761	399.75039
651	176	-798.967742	399.741935
661	212	-798.813918	399.691377
671	170	-798.974665	399.737705
681	204	-798.907489	399.723935
691	192	-799.05644	399.759768
701	166	-799.126961	399.777461
711	186	-799.009845	399.749648
721	240	-798.613037	399.63939
731	214	-798.839945	399.704514
741	225	-798.623482	399.646424
751	206	-798.945406	399.733688
761	220	-798.954008	399.73456
771	186	-799.180285	399.792477
781	254	-798.514725	399.62356
791	218	-799.049305	399.754741
801	223	-798.881398	399.717853
811	234	-798.850801	399.709001
821	230	-799.001218	399.744214
831	260	-798.753309	399.684717
841	206	-798.925089	399.728894
851	238	-798.947121	399.73678
861	246	-798.973287	399.739837
871	216	-798.943743	399.731343
881	255	-798.91941	399.725312
891	258	-798.832772	399.699214
901	297	-798.792453	399.691454
911	276	-799.069155	399.765093
921	268	-798.710098	399.674267
931	272	-798.930183	399.727175
941	234	-799.192349	399.793836
951	252	-798.88959	399.718191
961	266	-798.901145	399.719043
971	266	-798.957775	399.736354
981	268	-798.719674	399.673802
991	282	-799.063572	399.761857
1001	254	-798.925075	399.724276
1011	317	-798.733927	399.673591
1021	288	-798.96572	399.735553
1031	318	-798.758487	399.679922
1041	304	-798.935639	399.731028
1051	290	-798.873454	399.708849
1061	290	-798.982092	399.743638
1071	328	-798.838469	399.703081
1081	320	-798.93802	399.73358
1091	282	-798.991751	399.743355
1101	374	-798.637602	399.64941
1111	310	-798.909091	399.724572
1121	318	-798.96521	399.737734
1131	326	-798.946065	399.729443
1141	312	-798.979842	399.744084
1151	366	-798.731538	399.675065
1161	338	-798.866494	399.71404
1171	304	-798.971819	399.738685
1181	364	-798.797629	399.69348
1191	395	-798.626364	399.649034
1201	372	-798.724396	399.675271
1211	366	-798.936416	399.732453
1221	372	-798.751843	399.682228
1231	322	-799.051178	399.754671
1241	360	-798.778405	399.684126
1251	386	-798.842526	399.705835
1261	370	-799.045202	399.754163
1271	374	-798.741149	399.680566
1281	348	-798.935207	399.728337
1291	360	-798.95275	399.728892
1301	362	-798.930054	399.726364
1311	342	-799.075515	399.76659
1321	436	-798.652536	399.653293
1331	384	-798.924117	399.726521
1341	432	-798.791946	399.67487
1351	426	-798.69134	399.668394
1361	379	-798.824394	399.695812
1371	434	-798.760029	399.680525
1381	396	-798.79218	399.691528
1391	404	-798.846873	399.70381
1401	418	-798.726624	399.673091
1411	428	-798.854713	399.712261
