n 		 spin_accpt		Ecalc		 Mabs_calc
1		202		-316.000000		62.000000
11		907		-559.636364		129.272727
21		1161		-598.095238		21.523810
31		1541		-633.548387		153.548387
41		1576		-658.341463		156.926829
51		1003		-743.372549		351.843137
61		1547		-710.950820		287.704918
71		1571		-716.450704		288.901408
81		1268		-745.481481		344.567901
91		2495		-678.329670		79.912088
101		1058		-764.277228		368.198020
111		1057		-768.612613		367.927928
121		1966		-742.016529		313.603306
131		1611		-751.786260		339.389313
141		3625		-681.872340		75.773050
151		2212		-748.079470		317.589404
161		1831		-756.322981		341.925466
171		2072		-756.327485		323.298246
181		639		-788.994475		393.856354
191		2436		-749.068063		318.994764
201		2579		-753.233831		326.447761
211		1363		-777.725118		378.654028
221		1534		-775.095023		372.488688
231		4912		-690.354978		44.484848
241		2593		-757.377593		318.647303
251		1834		-774.422311		369.019920
261		1687		-776.291188		362.490421
271		1717		-776.885609		360.841328
281		6550		-686.633452		56.177936
291		3367		-755.367698		310.694158
301		6694		-689.634551		97.348837
311		7089		-688.861736		54.520900
321		2290		-773.482866		351.059190
331		2659		-769.498489		355.009063
341		1308		-785.302053		382.762463
351		2202		-777.971510		369.663818
361		2371		-774.681440		360.271468
371		2011		-778.328841		364.787062
381		2133		-777.448819		364.005249
391		705		-794.076726		396.419437
401		1759		-783.511222		374.837905
411		9102		-689.051095		48.593674
421		8756		-692.589074		33.282660
431		1550		-786.273782		378.088167
441		8450		-695.446712		177.414966
451		2481		-779.476718		363.028825
461		2084		-783.522777		375.856833
471		1171		-791.677282		392.467091
481		1205		-791.027027		391.471933
491		10680		-693.221996		77.014257
501		10020		-694.898204		49.381238
511		1312		-790.630137		390.908023
521		5206		-749.635317		264.775432
531		1510		-789.001883		388.937853
541		1869		-787.992606		384.303142
551		2199		-784.544465		373.818512
561		1598		-789.404635		386.381462
571		1967		-786.998249		381.733800
581		830		-795.352840		396.915663
591		11183		-695.634518		77.394247
601		12455		-692.698835		89.913478
611		2457		-786.075286		380.625205
621		5983		-750.531401		287.410628
631		11791		-697.407290		95.572108
641		2845		-783.201248		373.438378
651		11856		-697.382488		62.184332
661		1708		-790.323752		386.904690
671		2019		-788.518629		382.107303
681		1468		-792.023495		391.315712
691		4687		-767.548480		336.833575
701		1542		-792.205421		393.386591
711		1804		-790.773558		386.171589
721		10438		-722.441054		215.029126
731		2021		-789.510260		383.704514
741		14245		-696.026991		117.554656
751		1977		-790.737683		386.886818
