n 		 spin_accpt		Ecalc		 Mabs_calc
1		15		-748.000000		386.000000
11		675		-611.272727		330.000000
21		1674		-570.666667		302.380952
31		2796		-541.419355		279.870968
41		3419		-553.853659		278.146341
51		4707		-536.549020		265.176471
61		4618		-586.754098		316.688525
71		6187		-547.380282		268.704225
81		6631		-563.456790		300.148148
91		6889		-577.450549		308.241758
101		8843		-546.455446		271.663366
111		11833		-492.072072		161.567568
121		10423		-552.264463		282.198347
131		13021		-516.305344		241.328244
141		14892		-501.134752		225.531915
151		13667		-538.490066		263.205298
161		15646		-523.900621		237.416149
171		18471		-492.561404		162.327485
181		15790		-549.988950		273.922652
191		19082		-515.937173		230.921466
201		20561		-504.935323		211.980100
211		18845		-544.056872		272.436019
221		19275		-548.904977		285.140271
231		20184		-547.030303		277.307359
241		22836		-528.431535		238.340249
251		26713		-499.059761		199.219124
261		21814		-555.984674		291.862069
271		24641		-541.549815		266.583026
281		29863		-499.729537		196.064057
291		25697		-546.542955		282.969072
301		29920		-514.870432		242.000000
311		32919		-499.588424		188.090032
321		32396		-512.112150		225.769470
331		33640		-511.419940		223.166163
341		36650		-495.565982		185.466276
351		40681		-471.555556		146.193732
361		32104		-547.390582		279.861496
371		40606		-490.253369		159.320755
381		35220		-533.018373		253.501312
391		41272		-500.112532		205.892583
401		37912		-527.700748		248.733167
411		40716		-516.944039		232.720195
421		48649		-472.855107		138.579572
431		41997		-521.874710		217.921114
441		46800		-499.664399		195.292517
451		49494		-490.509978		169.751663
461		46157		-516.806941		234.763557
471		47339		-514.802548		222.484076
481		46439		-525.288981		236.316008
491		57706		-469.743381		137.352342
501		57107		-477.245509		145.321357
511		49180		-523.913894		250.317025
521		52947		-512.445298		213.186180
531		50290		-528.851224		252.629002
541		59008		-488.909427		181.689464
551		57195		-503.963702		175.771325
561		66382		-465.568627		111.155080
571		65875		-473.709282		123.422067
581		61220		-502.643718		180.843373
591		59825		-510.700508		210.670051
601		57476		-527.693844		246.053245
611		62813		-508.713584		225.849427
621		64366		-505.584541		202.180354
631		67155		-497.698891		175.277338
641		61357		-524.979719		235.101404
651		67758		-502.869432		216.995392
661		70314		-497.143722		197.951589
671		64631		-523.856930		250.411326
681		69901		-507.970631		210.173275
691		74319		-495.675832		181.186686
701		77748		-487.851641		153.252496
711		75514		-499.448664		186.171589
721		80894		-483.223301		159.339806
731		74689		-510.188782		207.255814
741		79870		-493.878543		181.257760
751		80996		-492.229028		205.568575
761		81581		-495.921156		161.337714
771		80346		-506.059663		201.346304
781		84937		-492.338028		181.708067
791		83774		-498.735777		194.548673
801		85115		-497.972534		182.102372
811		84899		-503.200986		184.510481
821		94366		-475.658952		136.265530
831		83848		-511.513839		202.259928
841		89449		-499.776457		192.040428
851		90996		-497.052879		189.062280
861		94315		-492.074332		161.584204
871		100643		-474.268657		123.664753
881		95660		-493.312145		176.855846
891		91363		-507.286195		209.699214
901		98377		-490.974473		165.704772
911		89110		-520.597146		237.031833
921		97923		-498.171553		176.660152
931		103502		-486.698174		169.220193
941		103986		-487.919235		170.582359
951		97849		-507.814932		223.764458
961		102768		-496.395421		179.456816
971		104429		-495.666323		189.009269
981		97168		-518.389399		221.645260
991		99771		-511.983855		225.338042
1001		106064		-498.905095		200.089910
1011		105113		-505.214639		205.305638
1021		107893		-502.033301		202.276200
1031		113003		-489.125121		170.539282
1041		118308		-477.679155		147.984630
1051		108447		-507.752617		220.890580
1061		110106		-503.034873		201.425071
1071		120725		-480.377218		137.449113
1081		118864		-489.228492		181.781684
1091		121771		-484.003666		154.240147
1101		118381		-495.418710		185.620345
1111		113025		-511.794779		218.385239
1121		118663		-500.206958		190.968778
1131		109737		-524.792219		224.544651
1141		117217		-508.659071		222.771253
1151		112822		-521.000869		220.967854
1161		119765		-507.776055		205.347115
1171		134043		-476.652434		136.136635
1181		121267		-506.875529		198.182896
1191		120176		-512.903442		226.030227
1201		136286		-480.985845		149.825146
1211		124968		-507.256813		197.473163
1221		136246		-484.668305		150.905815
1231		132689		-494.869212		182.240455
1241		131788		-498.887994		191.996777
1251		133243		-497.848122		182.729017
1261		128210		-510.309278		218.099921
1271		143141		-481.397325		159.752950
1281		144099		-482.298205		152.944575
1291		133703		-505.174284		213.950426
1301		135108		-505.684858		176.352037
1311		145770		-486.093059		161.601831
1321		141924		-494.216503		180.358819
1331		138484		-504.123216		193.813674
1341		146627		-489.297539		170.674124
1351		144177		-499.096965		185.825315
1361		135642		-515.265246		224.365907
1371		149259		-492.055434		178.256747
1381		152730		-488.136133		174.125996
1391		149140		-496.175413		187.578720
1401		154383		-487.186296		178.528194
1411		153649		-490.202693		173.262934
1421		150407		-500.517945		192.360310
1431		160846		-481.447939		134.723969
1441		164968		-476.771686		139.440666
1451		156305		-494.547209		175.392143
1461		146022		-515.066393		228.743326
1471		159152		-494.216179		185.098572
1481		155511		-502.968265		208.002701
1491		150465		-512.871898		214.740443
1501		156066		-504.378414		200.967355
1511		154434		-509.649239		211.275976
1521		163033		-495.190007		195.651545
1531		158562		-506.192031		211.072502
1541		162919		-500.238806		195.489942
1551		155270		-514.950355		222.074790
1561		158988		-510.208840		215.938501
1571		165686		-500.460853		191.553151
1581		170839		-494.269450		181.404175
1591		167583		-501.450660		204.905091
1601		168364		-503.282948		206.683323
1611		165136		-507.637492		213.008070
1621		166932		-507.901295		202.410857
1631		173642		-498.226855		192.555487
1641		171291		-504.738574		197.371115
1651		179316		-490.660206		177.602665
1661		165130		-517.004214		219.205298
1671		177571		-499.099940		188.434470
1681		173755		-506.055919		193.236169
1691		178031		-501.594323		188.005914
1701		183553		-494.788948		183.022928
1711		191688		-484.004676		152.845120
1721		187862		-491.651365		177.621150
1731		193831		-483.893703		157.404968
1741		187643		-494.915566		175.562321
1751		179940		-508.906910		214.812107
1761		194152		-488.261215		169.906871
1771		189908		-496.063241		189.523433
1781		189048		-499.847277		188.277372
1791		194461		-492.377443		182.528197
1801		194321		-494.969461		179.508051
1811		192522		-497.899503		181.379348
1821		186740		-507.859418		213.294893
1831		188113		-508.450027		213.333697
1841		184102		-514.670288		217.137425
1851		182900		-517.864938		229.665046
1861		203749		-489.842020		176.117141
1871		200325		-495.029396		184.286478
1881		198234		-499.834131		179.102605
1891		192086		-511.820201		216.877842
1901		204866		-494.346134		188.988953
1911		191706		-514.155939		224.724228
1921		206108		-496.699636		186.171786
1931		213902		-486.572760		154.193682
1941		215087		-487.192169		154.082432
1951		204931		-501.726294		199.174782
1961		216203		-488.167262		171.550229
1971		203308		-507.188229		200.289193
1981		217396		-489.314488		170.994447
1991		216875		-491.809141		184.043194
2001		208986		-503.254373		196.351824
2011		208809		-505.028344		207.001492
2021		211721		-501.723899		203.889164
2031		209451		-507.224028		211.061546
2041		226719		-485.793239		165.851053
2051		208939		-511.134081		221.397367
2061		210832		-509.950509		215.984474
2071		230082		-485.970063		172.886528
2081		217568		-502.971648		199.962518
2091		226888		-492.288857		173.296987
2101		238617		-478.600666		154.255117
2111		214117		-511.314069		222.106111
2121		238696		-483.256954		153.580387
2131		216007		-511.701549		220.750821
2141		227586		-499.788884		180.780009
2151		241109		-483.549977		154.069735
2161		224807		-504.664507		206.604350
2171		223720		-505.481345		214.971902
2181		231480		-498.672169		192.246676
2191		242670		-486.678229		160.989503
2201		248668		-480.499773		149.527488
2211		241686		-490.990502		163.519674
2221		238409		-496.010806		177.333633
2231		243366		-491.616316		171.688032
2241		238175		-497.547523		188.235609
2251		243853		-493.302532		171.929809
2261		238085		-500.550199		197.920389
2271		246656		-493.210040		180.753853
2281		253073		-487.351162		166.091188
2291		246528		-495.078132		184.454823
2301		254703		-486.574533		163.587136
2311		234498		-511.569018		221.028992
2321		244487		-500.432572		204.984059
2331		247732		-497.540970		195.074217
2341		250081		-497.498505		189.903460
2351		252219		-495.743088		177.977882
2361		260921		-487.972893		165.840745
2371		243599		-509.140447		216.386335
2381		255013		-496.206636		184.936581
2391		249404		-504.481807		198.348808
2401		249386		-506.065806		203.233653
2411		252679		-502.392368		201.192866
2421		253392		-504.327138		203.894259
2431		248250		-509.870835		210.849856
2441		261928		-495.446129		178.944695
2451		275670		-481.894737		147.498164
2461		261890		-498.977651		190.155221
2471		272148		-488.607042		172.825577
2481		274562		-487.405079		168.799678
2491		265445		-497.279807		187.118426
2501		263482		-500.780488		201.612955
2511		272132		-493.060932		169.648746
2521		272055		-494.197541		179.642205
2531		272820		-495.007507		170.731727
2541		278970		-489.216844		174.635970
2551		281123		-488.247746		167.018424
2561		275233		-495.258102		179.403358
2571		286034		-485.885648		157.281214
2581		285776		-486.493607		164.051143
2591		268841		-505.508298		195.106909
2601		281340		-493.284121		175.666282
2611		280948		-494.855611		181.982382
2621		273666		-503.771080		200.979016
2631		287093		-490.923603		177.413911
2641		297935		-480.699735		155.951534
2651		284294		-495.355715		186.608072
2661		282742		-498.570462		181.195039
2671		293468		-489.100711		171.023587
2681		296029		-487.786647		161.371130
2691		297781		-486.819770		155.371237
2701		291854		-494.009626		168.638282
2711		290345		-496.720030		183.042420
2721		292385		-495.485483		184.797501
2731		301178		-488.041011		165.089711
2741		302160		-487.496534		171.408975
2751		290822		-499.717921		197.997092
2761		311539		-480.969214		156.406375
