n 		 spin_accpt		Ecalc		 Mabs_calc
1		0		-800.000000		400.000000
11		7		-794.909091		398.545455
21		6		-799.238095		399.809524
31		15		-797.161290		399.290323
41		24		-797.463415		399.365854
51		16		-799.372549		399.843137
61		16		-798.950820		399.737705
71		20		-797.971831		399.492958
81		22		-799.308642		399.827160
91		28		-799.384615		399.846154
101		16		-799.524752		399.881188
111		28		-798.774775		399.675676
121		18		-799.239669		399.801653
131		18		-799.694656		399.923664
141		52		-798.468085		399.617021
151		39		-799.099338		399.774834
161		38		-799.254658		399.813665
171		50		-798.853801		399.707602
181		56		-798.629834		399.657459
191		80		-798.910995		399.727749
201		60		-798.766169		399.681592
211		45		-799.241706		399.810427
221		60		-798.877828		399.719457
231		68		-798.545455		399.636364
241		62		-798.821577		399.692946
251		54		-799.219124		399.800797
261		59		-799.141762		399.785441
271		76		-798.789668		399.697417
281		66		-798.975089		399.743772
291		91		-798.639175		399.656357
301		98		-798.684385		399.661130
311		74		-799.305466		399.819936
321		100		-798.629283		399.651090
331		77		-799.117825		399.776435
341		112		-798.697947		399.665689
351		122		-798.507123		399.618234
361		108		-798.770083		399.678670
371		116		-798.609164		399.644205
381		106		-798.981627		399.732283
391		130		-798.567775		399.621483
401		112		-798.972569		399.735661
411		136		-798.627737		399.654501
421		111		-798.983373		399.733967
431		134		-798.979118		399.735499
441		116		-798.793651		399.696145
451		150		-798.572062		399.631929
461		122		-799.002169		399.748373
471		136		-798.785563		399.690021
481		150		-798.927235		399.725572
491		162		-798.818737		399.686354
501		154		-798.626747		399.652695
511		146		-799.107632		399.776908
521		174		-798.648752		399.654511
531		152		-798.757062		399.683616
541		156		-798.713494		399.670980
551		164		-798.715064		399.673321
561		178		-798.759358		399.682709
571		156		-798.788091		399.691769
581		142		-799.084337		399.769363
591		144		-798.849408		399.705584
601		186		-799.128120		399.780366
611		151		-798.952537		399.734861
621		184		-798.718196		399.665056
631		177		-798.992076		399.740095
641		166		-799.026521		399.747270
651		206		-798.531490		399.625192
661		191		-798.729198		399.676248
671		212		-798.885246		399.716841
681		156		-799.118943		399.779736
691		196		-798.824891		399.704776
701		178		-798.858773		399.706134
711		212		-798.857947		399.713080
721		233		-798.773925		399.689320
731		216		-798.785226		399.693570
741		218		-798.585695		399.641026
751		206		-798.652463		399.653795
761		206		-799.064389		399.763469
771		238		-798.827497		399.693904
781		277		-798.637644		399.651729
791		188		-799.109987		399.774968
801		226		-798.866417		399.715356
811		279		-798.466091		399.610358
821		248		-798.850183		399.707674
831		234		-798.719615		399.667870
841		230		-799.010702		399.747919
851		280		-798.636898		399.652174
861		236		-798.940767		399.732869
871		276		-798.700344		399.673938
881		234		-798.933031		399.729852
891		269		-799.007856		399.748597
901		274		-798.916759		399.726970
911		253		-798.849616		399.705818
921		234		-798.996743		399.745928
931		224		-798.796992		399.692803
941		274		-798.873539		399.713071
951		218		-798.986330		399.739222
961		273		-799.038502		399.754422
971		280		-798.904222		399.723996
981		250		-799.013252		399.749235
991		310		-798.728557		399.675076
1001		304		-798.685315		399.660340
1011		295		-798.959446		399.736894
1021		295		-798.777669		399.688541
1031		298		-798.948594		399.730359
1041		328		-798.585975		399.642651
1051		352		-798.527117		399.625119
1061		349		-798.605090		399.639962
1071		298		-798.827264		399.704949
1081		308		-798.882516		399.715079
1091		282		-799.065078		399.763520
1101		336		-798.891916		399.720254
1111		354		-798.729073		399.675968
1121		346		-798.679750		399.664585
1131		353		-798.687887		399.664014
1141		318		-798.923751		399.728309
1151		306		-798.929626		399.728931
1161		340		-798.928510		399.727821
1171		355		-798.865927		399.711358
1181		348		-798.821338		399.703641
1191		343		-798.871537		399.711167
1201		340		-798.731057		399.678601
1211		374		-798.840628		399.706028
1221		340		-798.689599		399.664210
1231		318		-798.969943		399.735175
1241		354		-798.778405		399.688961
1251		356		-798.778577		399.686651
1261		420		-798.864393		399.714512
1271		330		-798.974036		399.741935
1281		332		-798.947697		399.734582
1291		382		-799.079783		399.764524
1301		380		-798.803997		399.691007
1311		374		-798.697178		399.665904
1321		420		-798.673732		399.660863
1331		360		-798.999249		399.747558
1341		374		-798.738255		399.679344
1351		396		-798.774241		399.686158
1361		408		-798.818516		399.700220
1371		344		-799.113056		399.768053
1381		402		-798.873280		399.710355
1391		474		-798.596693		399.643422
1401		445		-798.817987		399.697359
1411		426		-798.701630		399.666903
1421		416		-798.651654		399.657987
1431		446		-798.792453		399.693920
1441		374		-799.009022		399.746010
1451		430		-798.809097		399.700896
1461		420		-798.847365		399.708419
1471		360		-799.053705		399.755269
1481		454		-798.941256		399.725861
1491		417		-798.862508		399.710262
1501		416		-799.147235		399.778814
1511		528		-798.721377		399.677035
1521		446		-798.819198		399.700197
1531		480		-798.740692		399.683867
1541		472		-798.818949		399.700195
1551		424		-798.888459		399.716312
1561		459		-798.882767		399.716848
1571		502		-798.805856		399.694462
1581		530		-798.765338		399.687540
1591		457		-798.833438		399.707102
1601		412		-798.998126		399.745159
1611		522		-798.718808		399.674736
1621		416		-799.020358		399.753239
1631		508		-798.837523		399.702023
1641		456		-798.788544		399.692870
1651		500		-798.919443		399.727438
1661		548		-798.704395		399.670078
1671		529		-798.707361		399.670856
1681		508		-798.798334		399.694230
1691		576		-798.566529		399.636901
1701		496		-798.659612		399.657848
1711		546		-798.739918		399.677382
1721		452		-798.949448		399.731551
1731		484		-798.763720		399.684575
1741		508		-798.963814		399.736933
1751		594		-798.734437		399.679041
1761		506		-798.837024		399.704713
1771		496		-798.952005		399.733484
1781		516		-798.881527		399.718136
1791		513		-798.874372		399.713009
1801		530		-798.936147		399.726818
1811		560		-798.904473		399.718388
1821		514		-798.873147		399.712246
1831		534		-798.791917		399.693064
