n 		 spin_accpt		Ecalc		 Mabs_calc
1		270		-184		12
21		2936		-413.142857		85.619048
41		5248		-444.682927		32.780488
61		8182		-427.672131		44.95082
81		10653		-434.91358		45.876543
101		12186		-462.970297		141.881188
121		16025		-429.68595		73.669421
141		17621		-452.624113		86.751773
161		16380		-513.614907		230.47205
181		21487		-465.767956		114.674033
201		21505		-494.78607		148.119403
221		22976		-506.40724		204.606335
241		28335		-466.556017		149.319502
261		27953		-497.318008		172.727969
281		34067		-459.032028		101.601423
301		34221		-481.23588		148.664452
321		36470		-480.922118		158.186916
341		34992		-510.721408		208.914956
361		41384		-475.301939		159.927978
381		44166		-477.03937		134.272966
401		42474		-498.064838		214.997506
421		48306		-477.28266		143.182898
441		49950		-480.61678		163.287982
461		51100		-487.357918		183.548807
481		49606		-507.268191		216.503119
501		49114		-521.205589		243.277445
521		63678		-457.412668		86.069098
541		53889		-517.03512		226.491682
561		68895		-456.905526		88.538324
581		63611		-489.790017		154.36833
601		64656		-495.740433		188.163062
621		67879		-489.339775		186.599034
641		74004		-473.535101		144.112324
661		71332		-494.299546		170.971256
681		71575		-500.986784		185.107195
701		72595		-504.211127		212.376605
721		75981		-500.893204		201.34258
741		84603		-479.330634		135.983806
761		77447		-511.311432		210.157687
781		84697		-494.222791		162.645327
801		86708		-492.659176		197.815231
821		89045		-495.157125		172.791717
841		93100		-487.548157		161.426873
861		87990		-512.055749		221.268293
881		102658		-473.148695		132.177072
901		105553		-470.836848		140.601554
921		99852		-493.185668		191.120521
941		110441		-470.45271		135.217853
961		102576		-497.248699		199.284079
981		103148		-502.88685		202.738022
1001		108006		-495.96004		192.297702
1021		110704		-493.37904		160.971596
1041		116340		-484.103746		163.460134
1061		114462		-493.425071		188.005655
1081		124585		-474.630897		126.153562
1101		118537		-495.505904		187.369664
1121		119687		-497.084746		200.583408
1141		127867		-483.127082		159.889571
1161		121771		-501.050818		203.670973
1181		131924		-483.864522		160.277731
1201		127501		-500.019983		186.749376
1221		136897		-483.88534		125.416871
1241		139928		-481.643836		149.490733
1261		137558		-492.399683		189.838224
1281		143286		-482.969555		153.100703
1301		141163		-493.07917		167.357417
1321		148245		-483.079485		164.566238
1341		153633		-476.87994		136.835198
1361		149141		-489.528288		159.265246
1381		153776		-484.877625		150.67777
1401		150242		-495.480371		187.460385
1421		140719		-519.251232		229.369458
1441		156751		-492.302568		170.602359
1461		159320		-491.463381		179.97399
1481		161749		-491.251857		168.361918
1501		168666		-482.766156		156.433045
1521		165152		-492.591716		170.323471
1541		153060		-516.1817		225.522388
1561		172146		-488.046124		172.804612
1581		173103		-490.390892		175.328273
1601		173570		-493.07183		182.38476
1621		168788		-504.636644		211.871684
1641		172140		-501.830591		200.767824
1661		184572		-485.56773		161.795304
1681		181653		-492.844735		183.185009
1701		186904		-488.707819		168.49853
1721		174908		-510.138292		221.724579
1741		190075		-490.224009		168.064331
1761		191919		-491.995457		172.211244
1781		183301		-507.849523		203.732734
1801		199894		-486.953914		152.689617
1821		200941		-488.267985		172.339374
1841		200147		-491.986964		173.935904
1861		191857		-506.383665		205.765717
1881		191849		-509.269537		207.312068
1901		200982		-499.267754		184.634403
1921		209245		-491.475273		189.815721
1941		219430		-480.476043		141.223081
1961		211582		-495.108618		172.609893
1981		210811		-499.448763		200.201918
2001		220148		-488.981509		177.368316
2021		230134		-478.844137		134.7333
2041		222430		-491.480647		172.031357
2061		212855		-508.244541		205.313925
2081		238804		-476.146084		143.099471
2101		226860		-494.65207		176.578772
2121		227090		-497.388025		179.746346
2141		223091		-504.31574		203.446053
2161		236306		-490.952337		173.58075
2181		246842		-481.005044		158.777625
2201		235742		-495.936393		188.537937
2221		238965		-495.339036		172.220621
2241		232836		-506.05801		197.545739
2261		243681		-493.896506		192.207873
2281		246752		-494.583078		170.892591
2301		238428		-505.519339		201.993047
2321		256073		-488.539423		159.864713
2341		252192		-495.272106		177.238787
2361		245032		-505.373994		200.192291
2381		264047		-487.070979		160.894582
2401		253302		-500.383174		189.926697
2421		246623		-510.418835		212.17183
2441		259510		-499.22163		197.751741
2461		265671		-493.342544		180.006501
2481		279095		-482.789198		150.616687
2501		269269		-494.496601		180.57577
2521		269249		-497.835779		193.843713
2541		262843		-506.894923		203.93231
2561		279653		-490.430301		181.873487
2581		269299		-503.829523		201.064704
2601		286415		-488.73664		178.774318
2621		278652		-498.028233		192.239603
2641		294383		-485.72359		160.816357
2661		306202		-475.724915		134.72003
2681		294759		-488.819097		169.500932
2701		298530		-487.560163		163.820807
2721		303172		-485.647924		164.500551
2741		296958		-493.03174		180.440715
2761		297199		-494.827961		178.947483
2781		295375		-497.797914		192.916217
2801		295072		-501.358086		197.439486
2821		299528		-499.129387		196.643034
2841		310768		-491.003168		173.721225
2861		305584		-498.072003		192.742398
2881		320077		-486.535231		167.807011
2901		320915		-487.666322		161.969666
2921		323989		-486.458062		162.495721
2941		315268		-497.317919		180.081605
2961		311035		-502.835529		197.101655
2981		333170		-483.848373		151.180812
3001		330024		-489.354215		164.953016
3021		316764		-502.340947		193.723932
3041		334226		-488.226241		176.249918
3061		316947		-505.365567		206.936949
3081		340790		-486.852321		161.923401
3101		339811		-489.849726		168.808126
3121		341158		-491.184877		183.607818
3141		337087		-494.958294		196.717606
3161		338429		-496.501107		194.41316
3181		351150		-487.611443		171.820182
3201		333148		-504.86473		197.673227
3221		338501		-502.34213		194.741385
3241		342635		-500.71336		190.625116
3261		360768		-487.620975		164.153941
3281		365193		-485.927461		165.264249
3301		363654		-487.823084		163.581339
3321		362619		-491.194219		180.777477
3341		358911		-496.689614		188.622568
3361		378694		-481.215115		148.992562
3381		363636		-494.432416		184.175688
3401		368727		-493.264334		186.031755
3421		379117		-486.674072		158.74715
3441		369739		-495.960477		185.607091
3461		366359		-499.839353		200.135799
3481		381694		-490.012065		160.332663
3501		371542		-499.976007		190.951157
3521		381100		-494.128941		171.276342
3541		380026		-495.683705		180.273369
3561		394922		-485.957877		160.343162
3581		377057		-501.024295		195.192404
3601		393791		-491.01694		169.577895
3621		400798		-487.315106		167.002486
3641		388506		-498.107113		189.384784
3661		404638		-486.849495		175.314395
3681		408993		-485.377886		162.568867
3701		387131		-503.409889		195.41097
3721		379872		-510.286482		213.482935
3741		406753		-491.882384		174.310078
3761		401195		-497.576177		189.745812
3781		404906		-496.725734		185.266332
3801		415163		-491.033938		172.575638
3821		415869		-491.67129		181.081392
3841		385924		-513.982817		218.278573
3861		420004		-491.067599		179.224035
3881		417797		-495.254831		183.503736
3901		410814		-501.225327		199.231479
3921		415224		-499.052283		191.152767
3941		440317		-484.715554		160.553667
3961		419179		-499.610199		191.667761
3981		423326		-499.521728		189.557398
4001		460795		-474.909273		137.32067
4021		443069		-488.552101		165.864213
4041		432929		-495.923781		179.838159
4061		413979		-509.724698		212.127062
4081		429575		-501.108552		201.075717
4101		442037		-495.062668		185.145574
4121		445416		-492.960932		171.636981
4141		451599		-491.352813		174.741367
4161		460254		-487.342466		166.702716
4181		467045		-484.208563		158.087539
4201		450479		-496.139015		181.636753
4221		448770		-499.262734		181.46316
4241		455677		-495.258665		179.207262
4261		470633		-486.856606		166.236095
4281		457933		-497.75473		180.414389
4301		482342		-482.999302		158.609161
4321		464766		-495.231659		188.005091
4341		484754		-485.203409		152.752361
4361		467573		-496.865856		186.208668
4381		491518		-481.886327		147.630221
4401		457978		-504.311747		203.042036
4421		496988		-482.525221		150.544221
4441		458430		-506.829993		203.020491
4461		470558		-500.556826		197.324367
4481		486474		-492.9605		183.883508
4501		483117		-496.004443		183.158854
4521		485665		-496.136253		183.581066
4541		494926		-491.64237		175.690377
4561		492234		-494.533655		176.209603
4581		510412		-484.54224		160.654879
4601		483000		-501.948272		195.081504
4621		495183		-495.921229		189.642069
4641		498756		-495.838828		181.157509
4661		502176		-493.906887		184.814418
4681		493998		-500.662252		192.564409
4701		511292		-491.609445		171.754946
4721		508872		-494.929888		183.712773
4741		502421		-498.895592		187.394221
4761		513805		-494.123924		179.671918
4781		497323		-504.64087		200.77306
4801		511593		-497.802958		183.213497
4821		535015		-486.439328		162.372122
4841		527828		-492.036356		169.067548
4861		532181		-489.614483		174.702736
4881		518410		-498.7437		191.547224
4901		522667		-498.491736		186.056723
4921		528825		-495.863442		189.639911
4941		536200		-491.966808		178.176078
4961		523261		-501.699657		199.115501
4981		506632		-510.768119		215.835374
5001		538731		-495.29774		186.612278
5021		558458		-484.85003		162.477992
5041		532184		-500.657806		194.870859
5061		554506		-489.915827		176.284529
5081		555581		-490.884472		168.90927
5101		561048		-488.954323		170.683003
5121		567095		-486.674478		166.704159
5141		540553		-501.437074		190.728263
5161		569869		-487.784538		171.145514
5181		578572		-483.834009		159.54642
5201		558029		-496.224572		184.022303
5221		550727		-501.304731		197.768244
5241		574931		-489.705781		170.23278
5261		578784		-488.771716		168.186276
5281		563354		-497.658019		185.569778
5301		555715		-502.574609		199.124316
5321		565197		-499.034016		192.291674
5341		586367		-489.653623		166.169631
5361		578116		-494.746503		186.010073
5381		577354		-495.718268		188.601375
5401		572181		-498.900944		192.732827
5421		587784		-492.931194		172.559306
5441		592883		-491.972799		173.604484
5461		572226		-503.154001		197.099066
5481		613240		-483.971538		156.49626
5501		614313		-483.926559		154.016361
5521		627250		-479.253034		149.650788
5541		609176		-489.627143		176.832341
5561		605061		-492.281964		178.899119
5581		611691		-489.703637		170.18563
5601		603152		-495.570791		187.058382
5621		611990		-492.116705		172.213485
5641		620654		-489.442297		170.156355
5661		593616		-502.549373		203.146441
5681		604000		-498.641788		196.309453
5701		602045		-501.610244		193.601824
5721		601015		-501.7025		202.125503
5741		629181		-489.839401		164.09406
5761		617334		-496.984551		179.562576
5781		624694		-493.755406		183.047224
5801		607716		-502.820203		198.664368
5821		603768		-505.544752		210.117162
5841		615921		-500.853279		196.846773
5861		638454		-491.532503		171.04419
5881		617145		-502.413875		199.764666
5901		641339		-492.035248		174.132181
5921		655113		-486.79142		165.638912
5941		641348		-495.418953		174.333614
5961		635339		-497.977521		195.75541
5981		631632		-500.267514		195.652901
6001		660473		-488.432595		170.053991
6021		647002		-494.871948		186.753031
6041		669894		-486.410197		164.32445
6061		659676		-492.229665		183.419898
6081		663567		-491.501398		172.282519
6101		685089		-482.733322		155.145058
6121		657660		-495.742526		187.219409
6141		678875		-487.753135		168.453021
6161		665666		-493.223827		184.68398
6181		664819		-495.722375		185.437955
6201		669710		-493.988066		181.818739
6221		676671		-491.969137		168.874136
6241		686325		-488.84025		164.8191
6261		667497		-497.638716		186.89794
6281		674634		-495.571406		186.76421
6301		678098		-494.916997		181.001428
6321		678508		-495.257712		186.592944
6341		686755		-492.3091		177.542974
6361		683014		-495.45606		184.45213
6381		698160		-490.239774		175.556496
6401		712981		-484.295579		160.803937
6421		683827		-498.745367		182.832269
6441		691018		-496.068312		181.777053
6461		711384		-488.02724		164.958985
6481		688568		-498.539114		193.555624
6501		694008		-496.745116		190.688202
6521		700856		-495.198896		184.053366
6541		703811		-495.157315		180.469041
6561		707078		-495.047096		184.956866
6581		716872		-491.459049		173.326242
6601		717762		-492.093319		176.163612
6621		707991		-496.871772		180.234708
6641		699578		-501.082367		196.324951
6661		740591		-484.934394		156.647651
6681		721324		-494.352342		179.654543
6701		732053		-490.641397		171.255932
6721		714993		-498.798393		190.759411
6741		714499		-498.926569		193.215843
6761		711162		-502.501997		194.1979
6781		728607		-495.358797		184.364253
6801		747287		-488.740479		171.716512
6821		733360		-495.594781		179.378977
6841		744417		-491.874872		175.76904
