n 		 spin_accpt		Ecalc		 CV-calc		 sus_calc		 Mabs_calc
200		0		-4.000000		7.960000		1.990000		0.005000
200		0		-8.000000		15.840000		3.960000		0.010000
200		0		-12.000000		23.640000		5.910000		0.015000
200		1		-15.960000		31.203996		7.820450		0.019975
200		2		-19.960000		38.844796		9.730550		0.024975
200		2		-23.960000		46.405596		11.620650		0.029975
200		2		-27.960000		53.886396		13.490750		0.034975
200		3		-31.920000		61.134384		15.321699		0.039950
200		4		-35.920000		68.455984		17.151899		0.044950
200		4		-39.920000		75.697584		18.962099		0.049950
200		4		-43.920000		82.859184		20.752299		0.054950
200		4		-47.920000		89.940784		22.522499		0.059950
200		4		-51.920000		96.942384		24.272699		0.064950
200		4		-55.920000		103.863984		26.002899		0.069950
200		4		-59.920000		110.705584		27.713099		0.074950
200		4		-63.920000		117.467184		29.403299		0.079950
200		4		-67.920000		124.148784		31.073499		0.084950
200		6		-71.920000		130.750384		32.723699		0.089950
200		6		-75.920000		137.271984		34.353899		0.094950
200		6		-79.920000		143.713584		35.964099		0.099950
200		6		-83.920000		150.075184		37.554299		0.104950
200		6		-87.920000		156.356784		39.124499		0.109950
200		6		-91.920000		162.558384		40.674699		0.114950
200		6		-95.920000		168.679984		42.204899		0.119950
200		6		-99.920000		174.721584		43.715099		0.124950
200		6		-103.920000		180.683184		45.205299		0.129950
200		6		-107.920000		186.564784		46.675499		0.134950
200		6		-111.920000		192.366384		48.125699		0.139950
200		6		-115.920000		198.087984		49.555899		0.144950
200		6		-119.920000		203.729584		50.966099		0.149950
200		7		-123.880000		209.156764		52.339448		0.154925
200		8		-127.880000		214.639164		53.709748		0.159925
200		9		-131.840000		219.908736		55.043396		0.164900
200		10		-135.840000		225.231936		56.373796		0.169900
200		10		-139.840000		230.475136		57.684196		0.174900
200		10		-143.840000		235.638336		58.974596		0.179900
200		10		-147.840000		240.721536		60.244996		0.184900
200		11		-151.800000		245.595900		61.479244		0.189875
200		12		-155.800000		250.519900		62.709744		0.194875
200		12		-159.800000		255.363900		63.920244		0.199875
200		12		-163.800000		260.127900		65.110744		0.204875
200		12		-167.800000		264.811900		66.281244		0.209875
200		14		-171.800000		269.415900		67.431744		0.214875
200		14		-175.800000		273.939900		68.562244		0.219875
200		14		-179.800000		278.383900		69.672744		0.224875
200		14		-183.800000		282.747900		70.763244		0.229875
200		14		-187.800000		287.031900		71.833744		0.234875
200		14		-191.800000		291.235900		72.884244		0.239875
200		14		-195.800000		295.359900		73.914744		0.244875
200		14		-199.800000		299.403900		74.925244		0.249875
200		16		-203.800000		303.367900		75.915744		0.254875
200		16		-207.800000		307.251900		76.886244		0.259875
200		16		-211.800000		311.055900		77.836744		0.264875
200		16		-215.800000		314.779900		78.767244		0.269875
200		16		-219.800000		318.423900		79.677744		0.274875
200		16		-223.800000		321.987900		80.568244		0.279875
200		16		-227.800000		325.471900		81.438744		0.284875
200		16		-231.800000		328.875900		82.289244		0.289875
200		16		-235.800000		332.199900		83.119744		0.294875
200		16		-239.800000		335.443900		83.930244		0.299875
200		16		-243.800000		338.607900		84.720744		0.304875
200		16		-247.800000		341.691900		85.491244		0.309875
200		16		-251.800000		344.695900		86.241744		0.314875
200		16		-255.800000		347.619900		86.972244		0.319875
200		16		-259.800000		350.463900		87.682744		0.324875
200		16		-263.800000		353.227900		88.373244		0.329875
200		16		-267.800000		355.911900		89.043744		0.334875
200		17		-271.760000		358.411056		89.681091		0.339850
200		17		-275.720000		360.831804		90.298638		0.344825
200		18		-279.720000		363.277404		90.909338		0.349825
200		18		-283.720000		365.643004		91.500038		0.354825
200		18		-287.720000		367.928604		92.070738		0.359825
200		18		-291.720000		370.134204		92.621438		0.364825
200		18		-295.720000		372.259804		93.152138		0.369825
200		21		-299.680000		374.206144		93.650384		0.374800
200		22		-303.680000		376.172544		94.141184		0.379800
200		22		-307.680000		378.058944		94.611984		0.384800
200		22		-311.680000		379.865344		95.062784		0.389800
200		22		-315.680000		381.591744		95.493584		0.394800
200		22		-319.680000		383.238144		95.904384		0.399800
200		22		-323.680000		384.804544		96.295184		0.404800
200		22		-327.680000		386.290944		96.665984		0.409800
200		22		-331.680000		387.697344		97.016784		0.414800
200		22		-335.680000		389.023744		97.347584		0.419800
200		24		-339.680000		390.270144		97.658384		0.424800
200		26		-343.680000		391.436544		97.949184		0.429800
200		26		-347.680000		392.522944		98.219984		0.434800
200		28		-351.680000		393.529344		98.470784		0.439800
200		28		-355.680000		394.455744		98.701584		0.444800
200		28		-359.680000		395.302144		98.912384		0.449800
200		29		-363.640000		395.982076		99.092330		0.454775
200		29		-367.600000		396.583600		99.252475		0.459750
200		30		-371.520000		397.023424		99.382264		0.464700
200		32		-375.520000		397.553024		99.513464		0.469700
200		33		-379.480000		397.919324		99.614208		0.474675
200		34		-383.480000		398.289724		99.705508		0.479675
200		34		-387.480000		398.580124		99.776808		0.484675
200		35		-391.440000		398.709616		99.817951		0.489650
200		35		-395.400000		398.760700		99.839294		0.494625
200		36		-399.400000		398.812700		99.850794		0.499625
200		36		-403.400000		398.784700		99.842294		0.504625
200		36		-407.400000		398.676700		99.813794		0.509625
200		36		-411.400000		398.488700		99.765294		0.514625
200		36		-415.400000		398.220700		99.696794		0.519625
200		36		-419.400000		397.872700		99.608294		0.524625
200		36		-423.400000		397.444700		99.499794		0.529625
200		36		-427.400000		396.936700		99.371294		0.534625
200		36		-431.400000		396.348700		99.222794		0.539625
200		36		-435.400000		395.680700		99.054294		0.544625
200		36		-439.400000		394.932700		98.865794		0.549625
200		36		-443.400000		394.104700		98.657294		0.554625
200		36		-447.400000		393.196700		98.428794		0.559625
200		36		-451.400000		392.208700		98.180294		0.564625
200		36		-455.400000		391.140700		97.911794		0.569625
200		36		-459.400000		389.992700		97.623294		0.574625
200		36		-463.400000		388.764700		97.314794		0.579625
200		36		-467.400000		387.456700		96.986294		0.584625
200		37		-471.360000		386.003776		96.629636		0.589600
200		38		-475.360000		384.536576		96.261236		0.594600
200		38		-479.360000		382.989376		95.872836		0.599600
200		38		-483.360000		381.362176		95.464436		0.604600
200		38		-487.360000		379.654976		95.036036		0.609600
200		38		-491.360000		377.867776		94.587636		0.614600
200		38		-495.360000		376.000576		94.119236		0.619600
200		38		-499.360000		374.053376		93.630836		0.624600
200		38		-503.360000		372.026176		93.122436		0.629600
200		38		-507.360000		369.918976		92.594036		0.634600
200		38		-511.360000		367.731776		92.045636		0.639600
200		38		-515.360000		365.464576		91.477236		0.644600
200		38		-519.360000		363.117376		90.888836		0.649600
200		38		-523.360000		360.690176		90.280436		0.654600
200		38		-527.360000		358.182976		89.652036		0.659600
200		38		-531.360000		355.595776		89.003636		0.664600
200		38		-535.360000		352.928576		88.335236		0.669600
200		38		-539.360000		350.181376		87.646836		0.674600
200		38		-543.360000		347.354176		86.938436		0.679600
200		38		-547.360000		344.446976		86.210036		0.684600
200		38		-551.360000		341.459776		85.461636		0.689600
200		38		-555.360000		338.392576		84.693236		0.694600
200		38		-559.360000		335.245376		83.904836		0.699600
200		38		-563.360000		332.018176		83.096436		0.704600
200		38		-567.360000		328.710976		82.268036		0.709600
200		38		-571.360000		325.323776		81.419636		0.714600
200		39		-575.320000		321.812444		80.545678		0.719575
200		39		-579.280000		318.222704		79.651919		0.724550
200		40		-583.280000		314.597104		78.743719		0.729550
200		40		-587.280000		310.891504		77.815519		0.734550
200		40		-591.280000		307.105904		76.867319		0.739550
200		40		-595.280000		303.240304		75.899119		0.744550
200		40		-599.280000		299.294704		74.910919		0.749550
200		40		-603.280000		295.269104		73.902719		0.754550
200		40		-607.280000		291.163504		72.874519		0.759550
200		40		-611.280000		286.977904		71.826319		0.764550
200		40		-615.280000		282.712304		70.758119		0.769550
200		40		-619.280000		278.366704		69.669919		0.774550
200		40		-623.280000		273.941104		68.561719		0.779550
200		40		-627.280000		269.435504		67.433519		0.784550
200		42		-631.280000		264.849904		66.285319		0.789550
200		42		-635.280000		260.184304		65.117119		0.794550
200		43		-639.240000		255.407356		63.924960		0.799525
200		44		-643.160000		250.523036		62.709240		0.804475
200		46		-647.160000		245.619836		61.481340		0.809475
200		46		-651.160000		240.636636		60.233440		0.814475
200		46		-655.160000		235.573436		58.965540		0.819475
200		47		-659.120000		230.402864		57.674179		0.824450
200		48		-663.120000		225.180464		56.366379		0.829450
200		48		-667.120000		219.878064		55.038579		0.834450
200		48		-671.120000		214.495664		53.690779		0.839450
200		49		-675.080000		209.009084		52.319918		0.844425
200		51		-679.040000		203.444096		50.929256		0.849400
200		52		-683.040000		197.823296		49.521656		0.854400
200		52		-687.040000		192.122496		48.094056		0.859400
200		52		-691.040000		186.341696		46.646456		0.864400
200		52		-695.040000		180.480896		45.178856		0.869400
200		52		-699.040000		174.540096		43.691256		0.874400
200		52		-703.040000		168.519296		42.183656		0.879400
200		52		-707.040000		162.418496		40.656056		0.884400
200		52		-711.040000		156.237696		39.108456		0.889400
200		52		-715.040000		149.976896		37.540856		0.894400
200		52		-719.040000		143.636096		35.953256		0.899400
200		52		-723.040000		137.215296		34.345656		0.904400
200		52		-727.040000		130.714496		32.718056		0.909400
200		52		-731.040000		124.133696		31.070456		0.914400
200		52		-735.040000		117.472896		29.402856		0.919400
200		52		-739.040000		110.732096		27.715256		0.924400
200		52		-743.040000		103.911296		26.007656		0.929400
200		52		-747.040000		97.010496		24.280056		0.934400
200		52		-751.040000		90.029696		22.532456		0.939400
200		52		-755.040000		82.968896		20.764856		0.944400
200		52		-759.040000		75.828096		18.977256		0.949400
200		53		-763.000000		68.600700		17.168794		0.954375
200		54		-766.920000		61.290684		15.339868		0.959325
200		56		-770.920000		53.912284		13.492568		0.964325
200		56		-774.920000		46.453884		11.625268		0.969325
200		56		-778.920000		38.915484		9.737968		0.974325
200		56		-782.920000		31.297084		7.830668		0.979325
200		56		-786.920000		23.598684		5.903368		0.984325
200		56		-790.920000		15.820284		3.956068		0.989325
200		56		-794.920000		7.961884		1.988768		0.994325
200		56		-798.920000		0.023484		0.001468		0.999325
