n 		 spin_accpt		Ecalc		 Mabs_calc
1		241		-220.000000		12.000000
11		1678		-389.090909		46.909091
21		3111		-395.428571		64.952381
31		4532		-408.516129		107.161290
41		5230		-444.585366		58.634146
51		6778		-431.058824		38.274510
61		8009		-435.540984		43.442623
71		8739		-460.732394		152.394366
81		8412		-512.148148		198.987654
91		11543		-445.802198		58.373626
101		12066		-464.277228		72.000000
111		13329		-463.639640		129.297297
121		14060		-473.520661		152.743802
131		16296		-451.816794		129.267176
141		17405		-454.609929		97.106383
151		18412		-458.701987		122.251656
161		18464		-478.807453		177.677019
171		19506		-482.479532		173.239766
181		21465		-468.441989		132.740331
191		20568		-495.287958		213.581152
201		26003		-439.383085		58.995025
211		23116		-487.146919		170.729858
221		24207		-493.266968		137.285068
231		25967		-481.385281		124.701299
241		27551		-477.975104		146.481328
251		30859		-456.414343		99.474104
261		30415		-473.854406		129.961686
271		31854		-468.988930		115.822878
281		34238		-460.128114		110.661922
291		33017		-478.020619		165.560137
301		34633		-478.524917		160.451827
311		34318		-488.450161		151.594855
321		39133		-458.380062		125.476636
331		37398		-480.145015		153.214502
341		37364		-488.586510		179.929619
351		38295		-489.481481		171.823362
361		43453		-462.094183		134.116343
371		38489		-507.579515		219.202156
381		44122		-476.073491		145.821522
391		46751		-462.557545		137.115090
401		43066		-496.708229		194.109726
411		45601		-485.128954		150.817518
421		48973		-471.002375		107.363420
431		53071		-454.273782		110.909513
441		50279		-479.102041		168.371882
451		48210		-497.002217		199.521064
461		50787		-490.099783		152.832972
471		53701		-477.766454		151.231423
481		57419		-462.852391		117.367983
491		55973		-478.802444		139.327902
501		58406		-472.207585		130.327345
511		61074		-462.050881		115.647750
521		56982		-492.875240		193.497121
531		58270		-491.028249		161.216573
541		56571		-503.704251		205.837338
551		60955		-486.642468		184.196007
561		61667		-489.832442		175.672014
571		65837		-474.353765		137.891419
581		61646		-498.960413		199.521515
591		68656		-473.739425		85.952623
601		69781		-471.221298		140.189684
611		68407		-483.626841		181.970540
621		66698		-495.014493		198.582931
631		69441		-489.229794		175.594295
641		66431		-506.090484		203.606864
651		68440		-503.213518		198.995392
661		67742		-507.485628		230.075643
671		73601		-489.394933		170.390462
681		85414		-446.649046		72.631424
691		75334		-490.946454		160.023155
701		77195		-488.793153		169.460770
