n 		 spin_accpt		Ecalc		 Mabs_calc
1		240		-280		22
2		243		-120		24
2		422		-272		47
3		218		-76		4
3		428		-162.666667		9.333333
3		590		-272		18.666667
4		246		-67		9
4		433		-156		25.5
4		592		-249		48.5
4		735		-349		79
5		259		-44		9.6
5		441		-103.2		24
5		613		-160		40
5		765		-217.6		56.8
5		928		-294.4		79.6
6		244		-38		2.333333
6		438		-88		6.666667
6		607		-146.666667		14
6		766		-212.666667		23
6		910		-283.333333		30
6		1037		-357.333333		36.666667
7		237		-33.142857		2
7		430		-78.857143		3.142857
7		602		-128.571429		4.857143
7		752		-185.142857		9.428571
7		899		-242.857143		11.428571
7		1046		-297.714286		12.571429
7		1217		-349.714286		15.714286
8		238		-31.5		0.5
8		431		-73		3.75
8		590		-121		13.75
8		725		-170.5		24
8		876		-218.5		34.5
8		1030		-267.5		48
8		1166		-323.5		64.5
8		1291		-374		83.25
9		230		-29.777778		0.666667
9		403		-68.444444		2.888889
9		566		-108		6.222222
9		711		-146.666667		9.777778
9		859		-190.666667		13.333333
9		987		-236		20.888889
9		1141		-278.222222		30.222222
9		1288		-320		38
9		1451		-363.555556		48.222222
10		239		-27.2		1.6
10		410		-58		7.8
10		592		-94		14
10		751		-134.4		25.2
10		880		-173.6		38.2
10		1007		-216.4		51.8
10		1160		-259.2		67.6
10		1281		-300.4		82.8
10		1431		-341.2		97.2
10		1572		-388.4		116.6
11		240		-25.090909		0.909091
11		415		-56.727273		2.727273
11		565		-86.545455		7.090909
11		742		-117.090909		11.636364
11		887		-150.545455		13.090909
11		1042		-187.272727		15.090909
11		1168		-225.818182		18.181818
11		1300		-264.363636		18.727273
11		1431		-304.363636		20.545455
11		1547		-345.818182		21.272727
11		1675		-383.636364		22
12		244		-23		4.5
12		423		-47.333333		11.166667
12		582		-77.666667		18
12		716		-113		24.166667
12		846		-149.666667		28.666667
12		960		-189		34.5
12		1074		-230.333333		39.666667
12		1162		-272		43.5
12		1275		-314		47.166667
12		1379		-356.333333		49.5
12		1514		-393.333333		52.333333
12		1662		-430.333333		55.166667
13		245		-22.153846		0.461538
13		427		-46.461538		2.153846
