n 		 spin_accpt		Ecalc		 Mabs_calc
1		20		-716.000000		376.000000
11		848		-569.818182		308.363636
21		1685		-571.428571		283.904762
31		2773		-551.741935		274.387097
41		3106		-578.243902		306.146341
51		4482		-538.980392		281.529412
61		4593		-580.983607		303.475410
71		5629		-566.647887		291.802817
81		7660		-526.814815		263.580247
91		8380		-533.890110		261.032967
101		9704		-524.079208		263.782178
111		13395		-455.351351		126.090090
121		9923		-558.975207		283.900826
131		13220		-509.648855		194.946565
141		12199		-552.113475		286.028369
151		15360		-508.185430		232.503311
161		15398		-524.024845		246.819876
171		16780		-514.526316		227.742690
181		16703		-537.679558		260.044199
191		19237		-511.287958		237.832461
201		20573		-507.781095		231.721393
211		22029		-504.417062		224.691943
221		23192		-500.561086		181.574661
231		26926		-471.376623		134.337662
241		24559		-510.373444		227.319502
251		25628		-505.195219		218.844622
261		30165		-469.946360		158.796935
271		25200		-534.169742		256.774908
281		29856		-495.259786		159.850534
291		32667		-480.439863		177.532646
301		29499		-520.225914		235.328904
311		30838		-517.311897		230.463023
321		29342		-537.320872		268.112150
331		36571		-489.172205		154.386707
341		36709		-497.560117		194.000000
351		37522		-496.307692		180.569801
361		42057		-469.052632		150.670360
371		43181		-472.150943		112.948787
381		41310		-494.572178		175.569554
391		44183		-481.227621		152.731458
401		41525		-504.568579		197.117207
411		44546		-493.635036		175.192214
421		39702		-532.057007		239.235154
431		47476		-487.220418		175.832947
441		42787		-520.961451		237.995465
451		46676		-506.598670		203.760532
461		50899		-489.874187		177.826464
471		50579		-495.048832		206.016985
481		45284		-532.091476		265.950104
491		53577		-491.633401		152.321792
501		59105		-464.415170		120.223553
511		52914		-505.581213		206.320939
521		58311		-483.554702		143.946257
531		51766		-522.990584		236.451977
541		58310		-494.506470		189.944547
551		57455		-503.404719		200.493648
561		59266		-500.014260		186.983957
571		61716		-495.565674		194.938704
581		61432		-498.010327		185.332186
591		65670		-486.774958		156.930626
601		58541		-525.444260		249.830283
611		59047		-524.052373		243.662848
621		64512		-501.661836		223.449275
631		73153		-472.836767		142.443740
641		67716		-500.343214		211.210608
651		74562		-477.493088		128.602151
661		69806		-501.234493		202.202723
671		72950		-493.102832		174.357675
681		70953		-503.301028		199.674009
691		73475		-499.496382		183.988423
701		67821		-522.071327		244.604850
711		79229		-485.862166		155.091421
721		70373		-522.563107		218.649098
731		81462		-484.908345		165.844049
741		78548		-498.801619		192.526316
751		85926		-476.213049		145.115846
761		71558		-530.980289		258.076216
771		86603		-482.251621		133.330739
781		89012		-478.443022		148.950064
791		82519		-503.484197		196.546144
801		81794		-507.985019		207.300874
811		86807		-496.685573		189.773120
821		80650		-518.894032		239.812424
831		85313		-506.849579		201.135981
841		90083		-496.475624		197.381688
851		95649		-482.415981		147.875441
861		85896		-516.404181		212.954704
871		100078		-474.264064		127.974742
881		89882		-512.889898		210.717367
891		91238		-509.450056		203.162738
901		86776		-524.958935		242.472808
911		87135		-528.083425		248.742042
921		97931		-496.955483		184.442997
931		97876		-501.727175		201.426423
941		103280		-489.083953		152.516472
951		107663		-479.806519		129.251314
961		103387		-493.877211		176.847034
971		106141		-491.373841		170.440783
981		109677		-484.477064		141.849134
991		98988		-516.234107		221.487386
1001		109984		-487.804196		141.976024
1011		109533		-492.407517		188.278932
1021		103636		-513.355534		211.253673
1031		107056		-503.580989		208.380213
1041		101518		-521.663785		231.479347
1051		116066		-488.365366		162.726927
1061		111965		-500.271442		199.670123
1071		116175		-491.536881		166.584500
1081		114518		-500.155412		171.424607
1091		112691		-505.382218		206.326306
1101		118474		-494.637602		170.966394
1111		112707		-511.870387		221.688569
1121		119153		-498.419269		195.140054
1131		122801		-492.498674		169.649867
1141		115803		-511.235758		213.793164
1151		116228		-513.671590		217.593397
1161		121374		-502.391042		209.862188
1171		124208		-497.947054		184.290350
1181		126174		-498.252329		175.371719
1191		128682		-494.136020		175.237615
1201		132146		-488.646128		161.295587
1211		132769		-489.103220		172.929810
1221		124004		-511.246519		217.605242
1231		140754		-476.308692		140.430544
1241		125964		-513.002417		218.351330
1251		137065		-488.262190		159.098321
1261		130436		-505.544806		194.466297
1271		135282		-497.611330		195.776554
1281		137557		-494.385636		193.050742
1291		125760		-521.366383		237.378776
1301		132595		-510.305919		208.966949
1311		136821		-503.816934		197.264683
1321		139970		-499.515519		177.121877
1331		144584		-492.489857		171.170548
1341		144001		-495.233408		166.615958
1351		145026		-494.306440		175.625463
1361		156177		-475.488611		145.952976
1371		142624		-503.185996		206.910284
1381		148983		-493.946416		188.934106
1391		151064		-491.519770		189.951114
1401		159024		-478.740899		136.686652
1411		144588		-508.796598		208.394047
1421		149915		-500.723434		187.251232
1431		147565		-506.250175		212.496157
1441		144728		-513.485080		214.126301
1451		149713		-506.271537		204.941420
1461		151882		-503.682409		202.179329
1471		162139		-489.071380		176.085656
1481		150425		-511.538150		203.985145
1491		159429		-496.799463		176.395708
1501		156340		-503.259161		192.604930
1511		144891		-525.927201		250.589014
1521		157882		-506.532544		196.632479
1531		165541		-494.037884		187.329850
1541		159035		-507.636600		217.700195
1551		174071		-482.718246		155.068988
1561		160181		-508.012812		225.300448
1571		165860		-498.887333		195.877785
1581		175483		-486.074636		144.920936
1591		167067		-502.169705		192.886235
1601		177814		-486.258588		162.715803
1611		165342		-508.794538		217.795158
1621		176133		-492.286243		181.864281
1631		168212		-507.217658		203.621091
1641		171286		-503.385740		208.683729
1651		175276		-499.932162		186.810418
1661		176935		-499.214931		184.741722
1671		186201		-486.621185		173.518851
1681		183083		-492.306960		175.424152
1691		174727		-506.613838		203.749261
1701		168182		-516.686655		236.559671
1711		186942		-489.975453		173.663355
1721		181752		-501.271354		198.928530
1731		193293		-484.196418		141.820913
1741		199148		-475.873636		130.876508
1751		187739		-496.660194		178.713878
1761		188544		-495.986371		181.396934
1771		184175		-504.133258		198.337662
1781		187347		-500.687254		202.265020
1791		196842		-488.194305		169.429369
1801		193004		-495.742365		189.368129
1811		181687		-514.378796		234.041966
1821		202045		-486.752334		168.650192
1831		186301		-511.082469		205.436374
1841		210145		-476.784356		147.681695
1851		201448		-492.049703		176.181524
1861		201840		-492.898442		176.974745
1871		189012		-512.478888		231.278461
1881		211487		-482.079745		150.844232
1891		184962		-521.087255		233.930196
1901		205588		-493.576013		175.920042
1911		195535		-508.826792		214.894819
1921		215802		-482.225924		151.542946
1931		206990		-496.428793		192.276541
1941		206004		-498.528594		194.229778
1951		205223		-501.262942		192.675551
1961		223063		-478.929118		151.625701
1971		211029		-495.669203		184.519533
1981		214139		-492.508834		176.240283
1991		216387		-492.632848		173.114013
2001		211651		-501.045477		182.903548
2011		210317		-504.326206		197.351566
2021		219898		-492.350322		176.203859
2031		223801		-487.474151		147.939931
2041		202149		-517.514944		223.659971
2051		213399		-505.585568		210.593857
2061		215100		-504.553130		199.552644
2071		230889		-484.469338		164.478996
2081		226024		-492.953388		168.034599
2091		226944		-492.483979		173.611669
2101		231533		-489.054736		162.227511
2111		225959		-497.375651		187.540502
2121		228089		-495.479491		184.344177
2131		225995		-498.472079		202.425153
2141		221245		-507.054647		205.807567
2151		229126		-498.871223		190.474198
2161		229179		-498.804257		191.841740
2171		234259		-493.870106		185.443574
2181		233749		-496.687758		185.169188
2191		236737		-495.435874		187.873117
2201		235451		-495.985461		204.953203
2211		246702		-484.975124		151.430122
2221		236087		-499.823503		196.738406
2231		239990		-495.845809		183.435231
2241		242110		-493.793842		176.409639
2251		232474		-506.370502		210.945358
2261		240315		-498.264485		193.869969
2271		243777		-495.010128		182.007926
2281		250761		-489.599299		172.699693
2291		234676		-508.080314		207.534701
2301		247438		-495.342894		184.276402
2311		251343		-491.138035		176.623972
2321		248492		-496.734166		185.099526
2331		244999		-501.649078		200.504505
2341		260587		-484.375908		157.438701
2351		255283		-493.270949		175.070183
2361		246514		-503.315544		205.107158
2371		255265		-493.393505		186.828342
2381		243641		-508.724066		211.005460
2391		245694		-508.202426		216.357173
2401		249363		-505.614327		199.115369
2411		257590		-496.972211		194.886769
2421		273957		-480.047914		149.467988
2431		258017		-498.428630		186.152201
2441		259832		-499.105285		188.679230
2451		254800		-504.824153		201.661363
2461		271005		-488.251930		164.549370
2471		268303		-492.231485		170.849049
2481		261745		-501.609029		208.649738
2491		252508		-512.136491		217.433159
2501		271513		-492.444622		179.854458
2511		269186		-497.035444		187.409000
2521		266421		-500.363348		191.869893
2531		264101		-503.010668		212.851047
2541		276251		-492.028335		173.979536
2551		272371		-496.650725		183.245002
2561		283271		-487.406482		164.530262
2571		273123		-498.395955		188.554648
2581		278616		-494.228594		184.622239
2591		284891		-488.909301		176.594365
2601		281505		-493.013456		178.905805
2611		289046		-487.140559		158.844121
2621		271751		-505.242274		193.516978
2631		279541		-498.389966		180.536678
2641		275383		-503.466869		212.049981
2651		293778		-487.144474		172.810260
2661		290626		-491.230365		163.627959
2671		287328		-495.293149		181.097716
2681		297304		-486.003730		156.663931
2691		293674		-491.131921		168.560386
2701		289402		-494.870048		177.607553
2711		297163		-489.566949		176.893397
2721		293515		-494.947446		185.741272
2731		299376		-490.157451		172.130355
2741		290586		-499.900766		196.383072
2751		294894		-496.639767		184.852054
2761		303520		-487.940601		165.795726
2771		294695		-499.271021		191.652111
2781		303808		-491.214671		172.023013
2791		296901		-497.956288		185.211035
2801		295611		-500.704034		200.851125
2811		315402		-483.289932		143.210957
2821		283515		-513.898618		233.765331
2831		320586		-480.173790		143.744260
2841		304835		-495.721225		184.955297
2851		308727		-493.676605		178.566819
2861		292074		-509.943376		210.872422
2871		306555		-497.043539		188.243817
2881		314948		-490.636585		171.510587
2891		311633		-494.656520		182.714632
2901		318007		-490.418476		165.337470
2911		311372		-497.691515		189.660598
2921		307680		-500.869565		201.995892
2931		305319		-503.896281		191.541453
2941		334228		-479.167630		140.939136
2951		315577		-497.367672		182.225686
2961		315543		-497.134752		189.822357
2971		338722		-477.771794		143.058230
2981		319271		-496.876216		189.206978
2991		313529		-502.867268		199.683049
3001		316481		-500.907697		195.191603
3011		329748		-490.549319		171.254733
3021		327009		-493.383648		175.730553
3031		329919		-492.336523		170.495546
3041		322786		-498.829332		190.395265
3051		322561		-499.627663		183.069813
3061		326802		-497.604704		190.194054
3071		330324		-495.359166		186.154347
3081		322552		-502.745862		199.494320
3091		321514		-504.464575		194.062763
3101		336853		-492.944212		178.087069
3111		317390		-509.643202		216.315011
3121		336822		-492.704902		168.116629
3131		327705		-503.305014		193.370169
3141		330810		-501.529449		199.174785
3151		347268		-488.067280		176.880355
3161		340952		-494.873774		183.873458
3171		350238		-487.341533		166.956796
3181		338604		-498.092424		179.524049
3191		342743		-495.839549		190.265121
3201		342897		-495.676351		179.292096
3211		359426		-483.216443		160.283401
3221		344746		-496.522819		183.995033
3231		345732		-496.620241		184.878366
3241		338051		-503.779081		201.985190
3251		341783		-502.737619		197.595201
3261		343312		-501.735664		187.993867
3271		361303		-486.926322		173.965760
3281		352177		-495.767144		179.497714
3291		344733		-502.280158		195.498025
3301		357908		-493.348682		171.940018
3311		369645		-485.035337		164.997886
3321		347510		-502.848540		195.108100
3331		357754		-496.359051		181.395977
3341		355680		-498.176594		192.641125
3351		357242		-498.316920		190.947180
3361		346882		-506.762273		200.676584
3371		360727		-498.071789		189.623850
3381		363106		-495.194321		181.296066
3391		344336		-511.195518		211.450899
3401		374223		-488.610409		164.615113
3411		368167		-494.524773		174.871299
3421		357578		-502.693949		206.254896
3431		361985		-500.538618		192.325270
3441		374457		-491.628015		176.812554
3451		363489		-500.708201		189.387424
3461		354203		-509.601849		208.253106
3471		373303		-496.065687		184.341688
3481		365312		-502.170641		199.261132
3491		378112		-493.365798		183.220281
3501		395682		-480.999714		153.312768
3511		360621		-508.138992		206.467673
3521		371376		-500.887248		193.736439
3531		378384		-495.285188		189.213254
3541		388005		-489.091217		165.714770
3551		389862		-489.588285		173.826528
3561		386743		-491.756248		172.601516
3571		380502		-498.457575		180.971157
3581		371665		-505.799497		199.119240
3591		394845		-489.319967		168.983013
3601		390172		-492.589836		170.493752
3611		373070		-506.287455		201.141512
3621		376501		-505.483568		208.364540
3631		396410		-491.589094		173.950978
3641		393637		-494.035704		186.450975
3651		399441		-489.562312		171.113120
3661		389173		-498.948921		189.170172
3671		391620		-498.479978		190.651594
3681		378951		-507.878294		208.507471
3691		401350		-492.707667		175.714441
3701		401676		-493.741151		174.439881
3711		406855		-490.600916		166.658044
3721		383379		-507.186240		211.868315
3731		412641		-486.940767		167.455910
3741		397775		-498.724405		195.141941
3751		402818		-495.755798		186.630765
3761		386075		-507.838341		210.683329
3771		398108		-500.459295		195.757624
3781		395998		-502.208939		203.500132
3791		431067		-478.684252		151.053548
3801		408488		-494.698237		188.535122
3811		416498		-491.147730		177.063238
3821		400989		-502.307249		201.123790
3831		413737		-494.397285		182.488645
3841		417214		-492.735225		176.699297
3851		410057		-497.564269		190.359387
3861		411825		-498.256410		189.253043
3871		398358		-506.843710		209.740635
3881		418569		-494.405566		178.676114
3891		429473		-487.144693		159.149833
3901		412623		-499.770315		189.170469
3911		416524		-498.177448		177.451803
3921		407666		-504.565162		204.364193
3931		423461		-495.092343		179.959807
3941		420994		-497.666582		190.381122
3951		424447		-495.334852		179.543913
3961		426363		-495.253724		183.012371
3971		414975		-503.482246		198.328381
3981		412927		-504.453152		199.926149
3991		433892		-492.174392		169.329992
4001		437253		-490.657336		170.446388
4011		415744		-505.950636		203.006731
4021		422509		-501.802537		194.125839
4031		457844		-479.432399		147.653188
4041		437631		-494.170750		182.961148
4051		428159		-500.197482		195.876080
4061		452119		-485.241074		164.426003
4071		448994		-487.705232		164.741832
4081		469782		-476.097035		133.293310
4091		421455		-507.395747		212.364703
4101		444890		-492.801756		173.057791
4111		436409		-498.518122		197.348577
4121		446538		-493.444310		174.972094
4131		431277		-503.108206		198.277899
4141		458948		-487.530548		161.952668
4151		432950		-503.739822		193.093712
4161		448537		-495.234799		178.446527
4171		453392		-492.427715		168.967634
4181		439849		-502.059794		202.369290
4191		444264		-499.417800		197.983775
4201		438935		-504.004761		196.733635
4211		470927		-484.257421		161.175493
4221		454543		-494.877991		178.179104
4231		441603		-504.146537		194.329946
4241		458581		-493.341193		174.892714
4251		448688		-500.499647		197.872030
4261		467035		-489.459751		162.097160
4271		451379		-500.586280		192.684149
4281		454661		-498.211633		194.041579
4291		473343		-487.417385		161.785132
4301		469374		-491.609393		181.630784
4311		469519		-491.253074		164.682904
4321		461430		-497.817172		186.505439
4331		471353		-491.756176		174.672824
4341		483022		-485.490901		165.212163
4351		471793		-492.899104		177.870834
4361		469502		-495.230452		180.938776
4371		465861		-498.234729		187.525509
4381		473784		-493.832458		171.907327
4391		484270		-487.350490		167.109998
4401		470328		-496.979777		175.284254
4411		467733		-499.222852		195.263206
4421		478843		-493.630400		166.786700
4431		477385		-494.658542		183.015121
4441		486266		-490.023868		162.373790
4451		490025		-488.546394		167.495844
4461		459550		-507.267429		211.741762
4471		466657		-504.085887		199.896667
4481		471544		-501.831734		190.865878
4491		472526		-501.016255		191.450902
4501		471143		-502.769162		201.469451
4511		476750		-500.777655		190.690756
4521		478447		-500.348595		190.416280
4531		478088		-500.546458		191.045685
4541		489921		-494.062982		187.016516
4551		500537		-488.914085		171.775434
4561		493240		-494.499452		175.627275
4571		502424		-489.302122		164.907898
4581		490156		-496.646147		188.991487
4591		493791		-496.057504		184.675234
4601		497405		-494.092589		187.414475
4611		485286		-502.235524		201.316417
4621		500381		-492.558321		177.910409
4631		520330		-482.550637		157.942561
4641		498359		-495.399267		180.038354
4651		499925		-495.280155		185.024726
4661		513560		-488.139026		175.619395
4671		496241		-498.616142		190.707771
4681		492282		-502.217475		199.499680
4691		502181		-496.324025		188.911959
4701		496148		-500.795575		196.197830
4711		534911		-479.651879		145.802165
4721		503809		-497.088752		189.586105
4731		518134		-490.266751		170.563940
4741		486152		-509.183717		211.618224
4751		516455		-493.123132		175.138708
4761		505373		-498.853182		187.665616
4771		518034		-493.245860		171.874240
4781		512613		-496.928676		187.777871
4791		501079		-502.367773		193.524525
4801		510711		-497.764632		185.085607
4811		507460		-500.655997		199.841197
4821		515635		-496.603194		190.036922
4831		517530		-495.959429		181.838957
4841		493845		-510.318529		208.228878
4851		512885		-500.494743		195.193981
4861		499630		-507.780292		210.452582
4871		546935		-482.315746		157.095463
4881		538858		-487.130506		165.298095
4891		518728		-498.136986		184.339399
4901		505359		-506.903897		208.179555
4911		521867		-498.667481		189.902260
4921		527866		-496.078846		188.646617
4931		525274		-498.455486		192.672480
4941		515577		-503.648654		197.980166
4951		539728		-491.545142		180.531206
4961		537849		-492.654707		171.033259
4971		537923		-492.968819		181.524844
4981		513322		-507.142341		200.568962
4991		512485		-507.716289		206.815869
5001		538024		-494.934613		177.193761
5011		554218		-487.423668		170.063460
5021		535326		-497.470623		182.245768
5031		523657		-504.966806		204.965613
5041		541126		-495.393771		185.153739
5051		554549		-489.556919		167.488022
5061		547810		-493.327010		179.750642
5071		542712		-496.283179		184.059949
5081		534022		-502.172013		197.110411
5091		557235		-490.250246		172.733451
5101		543258		-497.887473		195.579690
5111		544535		-498.037175		185.837214
5121		538942		-500.992775		198.115212
5131		556641		-492.737478		177.313584
5141		549078		-497.557674		187.504766
5151		575915		-484.594059		159.681615
5161		550795		-497.205968		187.728347
