n 		 spin_accpt		Ecalc		 Mabs_calc
1		249		-312.000000		0.000000
21		2728		-440.761905		28.476190
41		5478		-436.585366		63.121951
61		8160		-427.409836		36.229508
81		10958		-421.481481		53.851852
101		12683		-443.207921		69.663366
121		14666		-457.223140		126.942149
141		16826		-464.113475		32.780142
161		20148		-447.428571		120.981366
181		20989		-474.563536		170.320442
201		22046		-487.681592		171.830846
221		23631		-496.977376		209.375566
241		28287		-466.788382		76.921162
261		32203		-453.762452		68.513410
281		34560		-457.437722		132.227758
301		35549		-468.159468		144.677741
321		38902		-460.697819		121.869159
341		36579		-496.750733		208.897361
361		34290		-529.972299		264.072022
381		38560		-513.375328		214.750656
401		46487		-473.496259		148.992519
421		51996		-454.983373		85.591449
441		53379		-461.015873		99.142857
461		56073		-459.479393		64.446855
481		53448		-484.765073		187.301455
501		57373		-476.534930		140.323353
521		55537		-496.360845		183.554702
541		66989		-450.528651		86.125693
561		60717		-494.010695		202.349376
581		63656		-489.025818		179.352840
601		64474		-496.978369		170.362729
621		74802		-462.048309		104.895330
641		68874		-494.845554		184.393136
661		78560		-467.001513		123.207262
681		73828		-494.725404		195.251101
701		77644		-485.015692		153.406562
721		83509		-474.158114		134.790569
741		82529		-484.928475		165.673414
761		81642		-495.337714		191.432326
781		84551		-495.160051		186.081946
801		85287		-498.406991		188.239700
821		92202		-483.108404		162.077954
841		96236		-476.570749		140.554102
861		89055		-506.573751		209.389082
881		93277		-501.362089		200.519864
901		95642		-500.710322		207.251942
921		102028		-486.479913		162.145494
941		99081		-502.342189		216.416578
961		102552		-496.187305		186.376691
981		107959		-489.822630		173.716616
1001		104441		-503.144855		190.799201
1021		109217		-495.788443		186.773751
1041		109216		-502.332373		192.195965
1061		111784		-500.999057		179.008483
1081		114284		-500.240518		201.957447
1101		112617		-510.139873		209.529519
1121		130814		-470.736842		123.168599
1141		130071		-477.826468		145.426819
1161		125978		-493.767442		172.630491
1181		128077		-493.608806		173.422523
1201		144099		-463.740216		106.319734
1221		130135		-497.769042		193.520066
1241		134220		-493.108783		186.833199
1261		133454		-500.333069		201.318002
1281		136800		-496.218579		180.651054
1301		149114		-476.273636		142.968486
1321		150290		-478.443603		144.205905
1341		151952		-479.182699		152.143177
1361		154559		-479.059515		147.315209
1381		148917		-494.540188		178.983345
1401		159587		-477.924340		141.556031
1421		151038		-498.820549		188.968332
1441		158177		-489.707148		181.440666
1461		161911		-485.670089		167.967146
1481		160174		-492.326806		188.037812
1501		167627		-484.301133		153.319121
1521		169490		-485.859303		171.518738
1541		172247		-483.974043		159.844257
1561		173693		-485.729660		151.569507
1581		162408		-507.585073		208.016445
1601		173027		-493.184260		183.481574
1621		175376		-493.571869		164.808143
1641		170885		-504.097502		202.354662
1661		178694		-495.547261		183.172787
1681		179641		-496.825699		182.716240
1701		179201		-500.451499		186.466784
1721		182349		-498.923881		193.757118
1741		197301		-480.567490		142.188397
1761		194713		-487.373083		164.029529
1781		200935		-480.640090		154.226839
1801		206231		-476.108828		132.329817
1821		191990		-501.107084		206.785283
1841		198659		-494.151005		174.857143
1861		197896		-498.746910		193.627082
1881		201267		-497.218501		185.825625
1901		196278		-506.703840		207.955813
1921		220007		-476.999479		147.504425
1941		199453		-508.230809		202.625451
1961		196479		-515.290158		227.927588
1981		215594		-491.440687		180.255427
2001		219741		-489.285357		168.512744
2021		230162		-478.092034		144.794656
2041		213143		-503.431651		207.141597
2061		218109		-500.273654		192.430859
2081		221163		-499.054301		188.688131
2101		232710		-486.185626		160.680628
2121		232681		-489.012730		152.911834
2141		238715		-484.351238		150.808034
2161		225969		-503.089311		201.668672
2181		249393		-476.957359		138.149473
2201		233514		-499.749205		194.173557
2221		234207		-501.082395		192.604232
2241		243717		-492.999554		178.569389
2261		243735		-493.608138		183.619637
2281		238113		-502.400701		201.307321
2301		238419		-506.332899		204.790091
2321		248060		-496.784145		198.753985
2341		258833		-487.853054		173.131141
2361		252979		-496.128759		187.078357
2381		261923		-489.060059		169.841243
2401		259633		-493.737609		182.755519
2421		257148		-498.488228		186.887237
2441		274145		-482.674314		155.556739
2461		270629		-488.999594		168.806176
2481		279014		-481.281741		167.434099
2501		277029		-487.638545		162.185526
2521		266189		-501.597779		192.493455
2541		274191		-494.849272		177.621409
2561		276474		-494.019524		181.055838
2581		281810		-490.471910		176.185974
2601		293295		-481.882353		144.776624
2621		272153		-506.104540		197.317818
2641		285412		-494.343052		176.352897
2661		293555		-488.374295		169.972191
2681		285923		-497.705334		194.901156
2701		290161		-495.971862		180.427990
2721		297282		-491.423741		171.647189
2741		301089		-489.851879		182.050347
2761		302332		-490.920681		171.908729
2781		298077		-496.402733		185.397339
2801		303721		-492.571225		176.415566
2821		309160		-489.403758		169.566111
2841		306648		-494.551214		176.489264
2861		312836		-490.329256		162.376791
2881		313374		-491.382159		188.305449
2901		303451		-503.491210		200.551534
2921		317601		-492.954468		179.195481
2941		318260		-493.637538		182.263856
2961		338035		-477.373860		141.660250
2981		331850		-484.941966		164.487756
3001		326730		-491.261579		179.747418
3021		329682		-490.388613		178.632241
3041		311609		-509.200921		220.634660
3061		346102		-480.361973		138.738321
3081		332247		-495.088608		185.159364
3101		331194		-496.819091		188.061271
3121		328927		-501.025312		200.819609
3141		334761		-497.921681		190.708055
3161		353996		-484.018981		151.877887
3181		345881		-492.892801		184.440742
3201		339353		-499.536395		193.112152
3221		348690		-493.084135		172.574977
3241		349572		-494.547362		185.121259
