n 		 spin_accpt		Ecalc		 Mabs_calc
1		230		-304.000000		60.000000
11		1816		-352.000000		44.727273
21		2986		-412.761905		138.476190
31		3996		-443.483871		94.064516
41		5105		-453.463415		190.243902
51		6357		-447.764706		143.372549
61		8479		-417.639344		39.639344
71		9359		-434.140845		72.450704
81		10774		-429.728395		67.358025
91		9581		-504.000000		201.978022
101		10770		-500.039604		212.653465
111		13348		-465.837838		143.459459
121		14970		-453.917355		60.595041
131		14447		-484.885496		192.335878
141		17818		-442.950355		57.163121
151		18145		-461.827815		70.317881
161		17926		-487.180124		149.925466
171		20807		-456.350877		134.093567
181		20600		-475.160221		161.436464
191		23533		-455.225131		103.780105
201		23962		-464.895522		137.990050
211		25924		-455.734597		101.772512
221		25161		-478.877828		145.737557
231		28602		-455.203463		82.043290
241		30292		-452.199170		68.838174
251		27010		-498.549801		203.960159
261		31249		-464.888889		124.996169
271		29129		-496.265683		196.442804
281		29006		-506.405694		216.846975
291		34945		-463.436426		127.072165
301		38020		-445.980066		60.797342
311		37271		-462.585209		123.003215
321		38176		-465.582555		126.105919
331		38864		-468.096677		139.806647
341		40250		-467.730205		134.134897
351		41632		-465.413105		104.837607
361		43722		-460.177285		98.288089
371		39927		-496.679245		191.185984
381		43298		-481.312336		149.107612
391		45963		-466.884910		116.680307
401		40812		-512.359102		223.935162
411		48397		-469.693431		118.257908
421		45061		-497.900238		203.429929
431		44471		-507.508121		192.139211
441		49258		-485.351474		155.011338
451		54661		-459.246120		115.756098
461		50527		-491.522777		169.587852
471		58703		-450.861996		112.242038
481		48606		-510.569647		236.898129
491		54589		-485.995927		158.541752
501		55904		-484.654691		174.327345
511		56068		-489.581213		169.710372
521		57864		-483.984645		162.099808
531		64637		-458.320151		96.425612
541		56224		-507.548983		215.038817
551		53161		-523.833031		245.931034
561		63236		-481.946524		155.408200
571		65296		-479.131349		137.232925
581		63353		-492.598967		168.003442
591		64888		-487.756345		155.800338
601		67965		-480.951747		145.164725
611		65982		-492.981997		170.785597
621		67387		-494.067633		191.330113
631		67637		-498.383518		200.114105
641		65019		-511.494540		215.560062
651		75234		-473.112135		144.420891
661		67770		-508.223903		208.393343
671		74602		-487.672131		163.564829
681		67513		-517.374449		233.054332
691		77230		-484.885673		171.759768
701		70241		-515.463623		230.813124
711		77333		-493.282700		171.111111
721		81410		-480.926491		144.019417
731		75544		-505.679891		211.931601
741		80766		-493.964912		181.937922
751		81871		-491.323569		179.150466
761		85418		-482.181340		164.890933
771		84047		-492.316472		168.383917
781		76619		-519.912932		222.747759
791		82778		-505.532238		217.512010
801		81332		-512.029963		213.260924
811		92115		-479.339088		153.864365
821		88692		-494.903776		178.192448
831		92424		-486.594465		172.731649
841		84665		-512.485137		210.104637
851		86994		-510.566392		223.633373
861		93866		-491.089431		174.104530
871		106323		-456.822044		101.095293
881		97268		-488.177072		192.690125
891		90825		-510.069585		217.836139
901		100617		-485.651498		170.397336
911		102404		-482.533480		160.654226
921		102806		-484.690554		175.324647
931		95433		-510.633727		209.061224
941		97804		-503.923486		196.261424
951		101426		-497.875920		199.695058
961		101917		-500.108221		192.693028
971		100722		-505.326468		204.733265
981		101483		-506.466871		199.522936
991		101189		-510.631685		216.258325
1001		106295		-499.256743		199.476523
1011		111343		-487.885262		165.592483
1021		113261		-486.115573		163.663075
1031		116502		-480.702231		138.217265
1041		115778		-486.051873		157.073967
1051		125232		-464.422455		99.472883
1061		109629		-506.043355		195.894439
1071		115946		-494.013072		177.260504
1081		121185		-482.989824		146.166512
1091		115193		-500.663611		185.145738
1101		112835		-509.605813		202.221617
1111		125550		-480.849685		164.730873
1121		131867		-468.196253		135.487957
1131		113818		-513.389920		231.867374
1141		129160		-479.565294		163.128834
1151		128806		-483.329279		164.587315
1161		129233		-486.611542		166.726960
1171		117902		-514.189582		224.353544
1181		126222		-496.802710		194.604572
1191		136432		-478.307305		136.612930
1201		131729		-489.365529		183.125729
1211		125837		-504.422791		214.670520
1221		139044		-478.257166		152.263718
1231		141623		-474.372055		131.541836
1241		137705		-487.645447		162.601128
1251		125688		-514.602718		229.440448
1261		144186		-477.287867		133.784298
1271		134426		-500.487805		195.605035
1281		142395		-485.692428		161.228728
1291		132107		-509.670023		205.742835
1301		141033		-493.192929		179.548040
1311		133214		-512.183066		221.092296
1321		137811		-505.199092		202.092354
1331		143340		-494.437265		194.868520
1341		147963		-487.752424		167.792692
1351		142564		-500.769800		211.655070
1361		147775		-493.246143		181.808964
1371		144221		-502.083151		203.447119
1381		161705		-469.326575		121.727734
1391		149994		-494.096334		183.223580
1401		153569		-489.467523		178.085653
1411		160509		-479.030475		137.431609
1421		156237		-489.328642		175.973258
1431		149433		-503.784766		195.934312
1441		151988		-501.013185		196.641221
1451		148405		-509.681599		207.484493
1461		162553		-484.898015		154.157426
1471		153323		-504.609109		201.691366
1481		160701		-493.426063		183.358542
1491		163078		-489.437961		177.407109
1501		162327		-493.769487		178.155896
1511		165043		-491.105228		154.893448
1521		161713		-498.808679		194.970414
1531		170245		-485.685173		149.601568
1541		170193		-487.205711		170.284231
1551		154998		-514.615087		230.134107
1561		167404		-495.833440		186.237028
1571		177314		-481.965627		152.007638
1581		176759		-484.025300		157.683744
1591		183321		-476.075424		154.584538
1601		168415		-501.941287		197.232979
1611		171629		-497.013035		190.504035
1621		190275		-469.256015		119.474399
1631		186736		-476.127529		151.090129
1641		161147		-519.734308		224.754418
1651		173843		-502.306481		199.259843
1661		175307		-500.712824		197.957857
1671		169321		-512.933573		212.242968
1681		186796		-486.848305		156.754313
1691		176684		-503.034891		193.006505
1701		188770		-485.342740		161.323927
1711		186203		-491.742840		174.121566
1721		176966		-507.649041		204.248693
1731		187692		-494.005777		180.488735
1741		187320		-494.453762		183.201608
1751		193418		-487.579669		146.889777
1761		200385		-479.627484		152.316865
1771		184384		-505.461321		215.945793
1781		202067		-479.941606		156.737788
1791		189197		-500.209939		201.426019
1801		197331		-489.607996		166.746252
1811		189085		-503.196024		203.402540
1821		190382		-502.273476		186.389896
1831		202044		-487.388312		168.002185
1841		189012		-509.397067		202.500815
1851		194641		-502.461372		196.210697
1861		200975		-494.368619		176.279420
1871		210613		-482.088723		159.796900
1881		209781		-485.078150		169.893674
1891		207088		-490.762559		173.481756
1901		195530		-508.212520		212.042083
1911		201300		-500.994244		194.825746
1921		201870		-502.921395		202.380010
1931		197249		-509.518384		210.665976
1941		214984		-488.063885		174.171046
1951		227209		-472.020502		139.535623
1961		219176		-483.755227		164.276390
1971		220017		-484.773212		156.472856
1981		219994		-486.194851		156.466431
1991		211940		-497.868408		190.385736
2001		213977		-495.672164		197.428286
2011		218042		-493.388364		172.131278
2021		223392		-487.889164		167.673429
2031		222717		-490.396849		179.843427
2041		222801		-491.596276		184.867222
2051		228470		-484.113116		175.372014
2061		225501		-490.385250		168.445415
2071		231715		-483.136649		163.373250
2081		224370		-494.842864		188.930322
2091		219139		-502.636059		194.684840
2101		223599		-498.090433		194.138981
2111		230644		-490.387494		176.348650
2121		241008		-479.219236		156.657237
2131		229519		-496.191459		185.694979
2141		223727		-504.345633		207.255488
2151		229923		-495.685728		192.343096
2161		232385		-495.063397		185.490051
2171		231216		-497.973284		187.343160
2181		230049		-501.133425		205.150848
2191		246852		-481.648562		151.103606
2201		236955		-494.500682		189.010450
2211		252071		-479.298055		150.034374
2221		241940		-491.945970		170.156686
2231		239071		-496.462573		177.899597
2241		234279		-503.719768		200.579206
2251		257814		-476.973789		130.228343
2261		238636		-501.151703		195.702786
2271		247295		-491.591369		173.379128
2281		244177		-497.515125		175.679088
2291		245401		-496.511567		190.862505
2301		259686		-480.215558		157.170795
2311		253922		-489.187365		170.525314
2321		250395		-494.762602		176.062904
2331		262817		-481.429429		159.799228
2341		230737		-519.704400		221.274669
2351		256109		-490.863462		171.179923
2361		270063		-477.155443		140.027954
2371		261843		-487.269507		155.291438
2381		265913		-484.475430		151.359933
2391		259883		-492.090339		170.025094
2401		256012		-497.102874		194.704706
2411		263024		-490.835338		173.963501
