n 		 spin_accpt		Ecalc		 Mabs_calc
1		215		-264.000000		46.000000
11		1853		-361.454545		23.090909
21		3139		-401.714286		24.952381
31		3859		-452.516129		17.290323
41		5349		-440.390244		148.292683
51		6437		-446.823529		61.333333
61		7617		-457.573770		56.721311
71		6954		-528.788732		257.859155
81		10100		-451.604938		31.777778
91		10497		-477.670330		184.417582
101		12769		-447.089109		116.693069
111		14758		-428.036036		53.081081
121		14494		-469.322314		176.380165
131		15652		-465.435115		85.465649
141		17005		-462.184397		131.234043
151		15822		-501.854305		218.847682
161		16911		-500.670807		214.173913
171		20362		-466.713450		155.929825
181		23130		-442.475138		94.895028
191		24094		-446.910995		94.785340
201		20535		-508.716418		191.124378
211		25920		-453.421801		82.473934
221		23734		-495.493213		157.511312
231		24847		-489.904762		196.354978
241		30034		-448.331950		85.062241
251		24663		-521.370518		244.948207
261		32568		-450.590038		65.440613
271		28519		-503.129151		203.018450
281		30205		-495.928826		195.637011
291		34826		-462.281787		125.594502
301		34751		-471.880399		150.265781
311		35638		-478.315113		132.218650
321		37162		-477.694704		140.442368
331		36080		-493.196375		195.015106
341		37677		-487.788856		158.768328
351		41320		-468.592593		141.225071
361		40795		-482.925208		160.498615
371		44611		-463.309973		85.013477
381		35646		-533.501312		252.209974
391		47947		-453.780051		99.595908
401		47151		-469.286783		149.945137
411		43517		-499.474453		204.233577
421		49451		-469.301663		110.275534
431		48368		-483.823666		174.000000
441		48666		-487.274376		165.678005
451		44749		-518.855876		236.651885
461		50878		-489.136659		176.577007
471		52829		-483.040340		171.074310
481		47494		-518.852391		243.925156
491		58151		-466.134420		130.692464
501		51710		-509.453094		207.061876
511		54244		-497.549902		196.692759
521		56063		-495.692898		183.531670
531		63971		-462.553672		91.755179
541		60901		-482.609982		174.033272
551		58945		-496.479129		181.038113
561		64449		-476.641711		151.326203
571		61515		-497.246935		185.751313
581		64355		-487.194492		173.721170
591		63273		-495.708968		195.996616
601		64666		-494.895175		178.222962
611		66686		-491.083470		159.882160
621		67304		-491.961353		180.959742
631		67438		-496.310618		206.630745
641		70197		-491.531981		186.639626
651		74594		-477.579109		164.101382
661		68936		-502.698941		208.254160
671		78071		-471.326379		123.752608
681		77854		-477.844347		132.540382
691		82712		-463.282200		90.735166
701		78906		-482.225392		167.537803
711		83377		-471.144866		140.331927
721		77270		-496.948682		187.786408
731		79749		-491.688098		192.842681
741		79765		-496.550607		200.696356
751		82815		-490.071904		171.363515
761		79875		-502.191853		197.839685
771		85431		-486.189364		168.119326
781		85565		-489.982074		179.101152
791		88309		-483.696587		174.278129
801		89680		-483.810237		166.968789
811		88721		-491.556104		165.782984
821		88964		-492.867235		180.518879
831		96035		-474.527076		135.992780
841		95697		-478.449465		135.521998
851		94780		-487.116334		176.408931
861		94746		-490.355401		173.112660
871		93053		-496.289323		187.554535
881		94870		-495.437003		184.631101
891		100238		-480.996633		149.189675
901		96110		-496.723640		160.266371
911		101990		-482.432492		170.906696
921		99263		-494.940282		179.507058
931		106957		-477.254565		126.534909
941		101621		-495.268863		180.824655
951		102312		-494.914826		192.073607
961		103990		-494.534860		192.684703
971		104047		-496.461380		185.548919
981		103533		-500.562691		187.834862
991		111290		-482.490414		178.177598
1001		109700		-489.986014		169.190809
1011		115590		-478.575668		157.038576
1021		109656		-495.839373		187.093046
1031		114349		-487.022308		181.612027
1041		111155		-498.947166		193.696446
1051		110494		-502.999049		194.331113
1061		118375		-485.308200		163.125353
1071		113066		-501.056956		185.452848
1081		123400		-478.123959		142.989824
1091		124553		-477.191567		146.769936
1101		116397		-499.694823		185.640327
1111		115761		-504.291629		197.962196
1121		126315		-482.501338		163.537913
1131		116347		-507.819629		203.011494
1141		124289		-490.131464		167.186678
1151		128276		-484.403128		167.563858
1161		121344		-503.093885		203.483204
1171		121251		-507.579846		217.834330
1181		135047		-478.604572		151.671465
1191		129665		-491.691016		192.352645
1201		142084		-466.694421		132.609492
1211		133720		-486.959538		156.037985
1221		125863		-507.331695		197.294021
1231		128895		-503.262388		204.955321
1241		132488		-497.218372		180.182111
1251		136180		-491.622702		197.080735
1261		143693		-478.934179		140.886598
1271		134674		-499.628639		188.900079
1281		147777		-474.941452		138.591725
1291		129097		-515.085980		226.503486
1301		142370		-491.277479		176.502690
1311		140532		-494.791762		183.517925
1321		140961		-496.635882		198.799394
1331		140040		-500.637115		196.516905
1341		145686		-491.319911		182.524981
1351		148797		-486.990377		168.115470
1361		148252		-492.996326		180.429096
1371		148814		-492.484318		170.377826
1381		148636		-495.834902		185.797248
1391		149232		-496.278936		182.921639
1401		155754		-486.138473		162.259814
1411		157811		-484.541460		162.391212
1421		153059		-494.941590		184.828994
1431		154961		-493.417191		189.640811
1441		152270		-501.343511		209.701596
1451		153064		-500.700207		192.923501
1461		152711		-504.320329		202.394251
1471		165873		-481.125765		166.000000
1481		166993		-481.002026		154.937205
1491		165720		-486.728370		153.220657
1501		160525		-496.890073		178.002665
1511		164751		-490.406353		186.553276
1521		162196		-497.951348		195.798817
