temp`t	Eavg		Heatcapacity		Maverage		Susceptibility`		Mabsaverge 	
2		-1.746156		0.713566		0.911548		0.376447		0.911548
2.05		-1.70688		0.769274		0.894439		0.430593		0.894439
2.1		-1.660346		0.956138		0.870279		0.76819		0.870279
2.15		-1.594438		1.261596		-0.096586		3.505948		0.816334
2.2		-1.549636		1.336617		0.797233		2.184445		0.797233
2.25		-1.4878		1.380573		-0.751303		2.820069		0.751303
2.3		-1.405176		1.509793		-0.650275		5.451739		0.664221
2.35		-1.28927		1.614188		-0.133704		9.483243		0.504042
2.4		-1.22331		1.500254		-0.148652		8.80216		0.442468
2.45		-1.17591		1.230603		-0.078465		8.00469		0.389779
2.5		-1.111642		0.974175		0.166319		6.133731		0.319039
2.55		-1.081748		0.938449		0.190449		5.735343		0.316779
2.6		-1.045284		0.844883		0.047989		4.698553		0.263677
