temp`t	Eavg		Heatcapacity		Maverage		Susceptibility`		Mabsaverge 	
2		-1.744112		0.738233		0.910485		0.385102		0.910485
2.05		-1.70326		0.888981		0.889487		0.611595		0.889487
2.1		-1.66569		0.94391		0.871952		0.739259		0.871952
2.15		-1.601226		1.112745		0.831671		1.381984		0.831671
2.2		-1.563634		1.321333		0.801035		3.342082		0.803125
2.25		-1.474864		1.341774		-0.737966		3.123332		0.737966
2.3		-1.398874		1.570673		0.395188		5.826333		0.653758
2.35		-1.329884		1.537155		-0.123057		7.170255		0.583875
2.4		-1.25365		1.466562		0.229817		9.188481		0.476761
2.45		-1.179888		1.203151		0.192933		7.717828		0.393873
2.5		-1.117576		0.991506		-0.031373		6.315429		0.332137
2.55		-1.082372		0.88666		0.0064		5.507036		0.312196
2.6		-1.036704		0.82619		0.042245		4.923762		0.248227
